Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000010,신한은행,12,19560303,1.325358,1.18639,28117.53,15532.96,19386.4,66196288000,59227864000,0,-2.75,1.45,0.49,-17.89,5425189000,2549365000,-681861000,-9659.51,-0.97,-1.54,-45.66,,16341.75,18014.81,,,661962.88,592278.64,,,13.57,4.17,0.08768,0.08651,2160,,,,,,,,,,,,
A000020,동화약품,12,19760324,0.655796,0.641981,377.07,386.57,1464.47,201468457,194233925,,6.62,0.27,0.32,3.04,123012330,59171306,10951133,59.43,4.16,3,4.14,5.82,203.6,190.87,13141488,11514790,2014.68,1942.34,297.82,372.98,49.27,48.1,0.64419,0.62174,1384,1340,1380,1428,1470,1754,1686,2040,2560,2340,2180,2760,3690
A000040,KR모터스,12,19760525,0.155792,0.106464,413.05,293.38,440.58,104023711,87561150,,1.42,0.89,0.07,3.03,79166713,9048307,-5041954,41.36,65.76,4.32,16.2,-8.36,54.61,16.69,54487277,10260909,1040.24,875.61,120.51,131.61,13.62,11.43,0.89585,0.82644,562,457,847,622,682,562,599,637,764,922,764,787,877
A000050,경방,12,19560303,0.315476,0.327427,771.68,1019.2,3919.2,531981812,534608754,,412.82,0.2,0.42,14.59,185753163,14392092,-1304488,1.87,0.65,0.04,0.05,-0.36,113.47,-395.57,34291952,15681866,5319.82,5346.09,74.26,68.87,11.58,7.75,0.35381,0.34831,3649,3155,3611,3953,3877,3870,3946,4166,4143,4713,4797,4942,4942
A000060,메리츠화재,12,19560702,1.215702,1.168611,1269.84,1355.64,1981.17,2150525359,2332001973,,6.63,0.61,0.07,-1.7,1914153051,,24417683,200.22,1.67,0.89,10.6,,1597.31,1301.33,,,21505.25,23320.02,,,0,0,0.9353,0.85405,1235,1161,1142,1200,1378,1293,1343,1362,1505,1532,1505,1532,1780
A000070,삼양홀딩스,12,19681227,0.33319,0.307153,1963.81,1963.81,6505.82,913486376,957379494,19.36,6,0.3,0.29,4.05,787700333,162598247,40413762,381.35,3.77,4.08,6.04,8.63,466.5,560.14,94421206,83155690,9134.86,9573.79,79.48,82.77,22.78,20.64,0.43662,0.84207,22044,21493,23477,24800,29760,39680,37806,37475,42987,47010,41223,40286,49600
A000100,유한양행,12,19621101,0.355335,0.388721,4732.07,5228.65,4597.43,613298831,644303431,12.4,9.75,1.11,1.69,5.3,306595758,135435137,45737540,532.16,7.75,8.46,12.17,15.25,249.59,273.84,61181103,66487837,6132.99,6443.03,199.37,233.13,44.96,44.17,0.48346,0.48759,46554,43304,45294,50400,52522,63331,60497,62305,69885,62583,60010,67312,83097
A000110,한국스탠다드차타드은행,12,19560303,0,0,8464,8464,16481.1,32231343000,39480658000,0,-39.69,0.33,0.22,43.4,2417993000,1001136000,34257000,-134.7,0.35,-0.04,-0.81,,2099.59,7334.65,,,322313.43,394806.58,,,31.31,26.55,0.06829,0.06744,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,,,
A000120,CJ대한통운,12,19560702,1.583811,1.484778,2024.03,2444.91,7927.2,1285709386,1301121290,,2.64,0.13,0.09,1.37,1097051841,122315030,60117479,391.29,3.49,3.03,5.06,3.95,1133.7,1073.75,365768034,327362215,12857.09,13011.21,197.76,183.38,11.32,11.15,0.86021,0.84818,12027,10855,9683,7186,9351,12740,12919,14855,19773,17837,18728,20232,27978
A000140,하이트진로홀딩스,12,19730919,0.288387,0.273813,16778.36,15741.71,8378.03,1743356645,1848980997,42.19,16.39,2.11,2.28,8.89,822338360,448583521,213069561,1141.15,6.13,6.35,14.21,10.56,960.01,1561.23,351267355,349272372,17433.57,18489.81,62.65,67.43,54.29,54.55,0.46331,0.45783,88865,83845,84379,90360,86942,90574,91321,92176,93137,104672,98157,98905,95273
