Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000020,동화약품,12,19760324,0.740104,0.739414,1555.78,2533.38,2297.26,316165540.73,313073099.66,,31.51,0.68,0.73,7.13,213472144.94,95203910.36,5339778.1,49.37,0.32,1.57,2.16,1.75,82.05,135.15,15561801.29,14432182.55,3161.66,3130.73,159.13,174.92,47.09,44.6,0.68777,0.67851,10000,8160,7100,7020,6920,7750,8140,9080,7900,8110,9330,10500,10100
A000030,우리은행,12,20141119,2.059841,1.966826,67627.84,66275.28,180934.25,243686166000,256071301000,,5.02,0.37,0.35,37.86,15840201000,10406829000,870894000,12079.69,-0.24,0.4,5.9,,-29979.49,2812.44,,,2436861.66,2560713.01,,,16.21,22.06,0.06581,0.05723,9740,9540,9120,9390,9920,9490,8820,8800,8780,9460,10500,9950,9520
A000040,KR모터스,12,19760525,0.457766,0.489578,1235.18,1893.32,457.76,116931646,136684599,,-9.25,2.57,1.48,-22.27,79567593,742149,-11098659,-127.28,-5.6,-10.03,-24.69,-10.42,8.45,-328.33,13664282,20971541,1169.32,1366.85,129.91,95.64,7.59,1.5,0.84275,0.62847,1618,1641,1566,1506,1573,1488,1903,1798,1716,1708,1798,1656,1708
A000050,경방,12,19560303,0.576893,0.591405,4989.58,6798.99,6476.69,1261257414.45,1275008413.07,,43.43,0.77,1.52,16.47,256979443.76,47911940.18,32095523.65,114.88,1.11,0.88,1.79,7.4,511.54,238.19,487111804.42,234781208.81,12612.57,12750.08,76.48,24.73,27.57,27.56,0.26382,0.25322,23850,24050,20950,20800,19200,18950,19250,20000,20850,19650,17400,16200,17300
A000060,메리츠화재,12,19560702,0.741473,0.713446,13192.39,17218.99,14021.68,11043466593.43,12981490906.49,,11.13,0.94,0.21,4.9,6024615246.45,,154155802.17,1148.67,1.26,0.95,9.43,,8138,817.23,,,110434.67,129814.91,,,0,0,0.40692,0.50148,16800,16250,15450,15900,16100,15000,16150,14950,15400,16000,16150,15850,14700
A000070,삼양홀딩스,12,19681227,0.752169,0.866631,7682.15,19954.75,16543.9,1122216976.09,1309722668.19,15.2,303.03,0.53,0.34,12.49,213420611.47,86419846.96,49900230,210.04,-0.98,0.78,1.27,2.41,-232.19,1280.59,93498410.54,197663878.53,11222.17,13097.23,160.65,165.67,13.02,15.77,0.87177,0.82113,223000,191500,179000,135500,160500,159000,159000,175000,178000,157500,163000,147000,146500
A000080,하이트진로,12,20091019,0.55372,0.606109,16306.06,15885.26,13279.28,3398638439,3304646402.54,56.74,78.36,1.22,0.88,12.95,1605639274.16,690593279.44,95307376.76,212.54,2.24,0.61,1.57,2.17,2460.13,2472.58,697658342,701238597.96,33986.38,33046.46,57.08,55.9,43.36,41.87,0.53663,0.53683,22850,22350,22100,22800,22900,24150,23400,29750,30400,28900,27950,25100,23850
A000100,유한양행,12,19621101,0.470628,0.481006,18903.57,30446.45,12758.65,1390058379.92,1455736896.33,11.81,21.29,1.38,1.9,11.73,1008179738.68,303008458.13,67141165.37,909.48,5.93,5.81,7.26,11.43,797.78,943.86,26794637.86,45935578.02,13900.58,14557.37,315.19,329.72,31.13,31,0.64696,0.65017,252867,247360,228085,223496,259751,254244,250113,305643,241394,257456,268011,290958,280861
A000120,CJ대한통운,12,19560702,0.910679,0.951697,44712.19,44255.95,22806.6,3791635825.83,3712040088.83,,78.09,1.53,0.98,22.52,4078826078.32,346472297.31,108575488.16,594.52,-1.45,1.3,2.63,3.94,-738.28,2598.04,964870640.88,971138983.6,37916.36,37120.4,138.94,145.35,7.84,10.5,0.91687,0.99657,188000,171500,178000,199500,195000,192500,191000,220000,198000,190000,194500,214000,217000
A000140,하이트진로홀딩스,12,19730919,0.92022,1.006979,2831.23,3318.57,10942.38,1768073953.49,1777288624.81,23.54,-2.47,0.56,0.15,19.86,67132024.54,67132024.54,65004332,-1011.09,-1.19,-2.44,-8.67,3.54,2326.94,2197.77,189661512.39,334365647.6,17680.74,17772.89,40.79,41.95,43.12,42.16,0.44634,0.45645,14550,17100,14550,14750,13650,14500,13600,15850,17250,15300,15500,14200,13400
A000150,두산,12,19730629,1.385548,1.373917,22015.37,23185.27,89023.41,3319134292.42,3509598140.49,269.84,41.78,0.74,0.13,10.96,1995372674.15,560486531.32,256448043,332.49,0.42,0.11,0.37,0.04,3833.62,6467.9,836083748.82,656345571.05,33191.34,35095.98,104.18,97.07,16.2,16.61,0.68983,0.64963,108500,102500,103000,111000,110500,104000,88500,76600,74800,88400,107500,97000,93200
A000180,성창기업지주,12,19760602,0.744015,0.7664,1120.38,1972.22,2497.33,87495015.54,89758433.5,,-31.82,0.45,0.69,40.67,9067704.86,9067704.86,1458580,-35.27,-1.31,-1.07,-1.4,0.16,-63.42,-66.14,242221.69,582859.35,874.95,897.58,141.86,150.66,14.62,17.39,0.46215,0.49633,3485,3642,3018,2625,2945,2915,3190,3990,4000,4495,3615,3790,3350
A000210,대림산업,12,19760202,1.730153,1.727866,22898.4,28536,44652.55,9929195686.6,10054083478.16,210,-5.59,0.6,0.27,-10.02,7845394021.79,550011083.65,154532868.4,-4405.09,-0.1,-4.12,-9.44,-15.61,346.95,317.27,1122162350.72,2126794924.53,99291.96,100540.83,155.44,149.36,5.17,2.11,0.90382,0.86949,84500,74400,67300,67100,74800,72200,67100,78000,79300,90900,90700,81300,76000
A000220,유유제약,12,19751118,0.885494,0.954708,457.85,1098,714.89,92253471.94,96488170.1,12.98,-9.71,0.94,1.15,-9.87,53061288.98,30051428.11,1071425.92,-73.63,2.09,-7.45,-10.24,0.98,-7.75,13.63,8088696.38,6597205.31,922.53,964.88,282.14,199.01,52.22,49.51,0.67041,0.63558,18000,16550,14350,14450,11850,13300,13800,16800,13200,13300,14100,15350,14300
A000230,일동홀딩스,12,19750628,0.026345,0.08925,3772.74,8322.6,3329.5,612257822.44,604811196.33,,31.32,1.08,0.89,16.02,401329755.36,201524726.97,15230207.82,119.35,1.15,1.91,3.62,2.57,156.48,393.57,124988266.02,133072140.45,6122.58,6048.11,158.17,160.53,51.36,49.33,0.67565,0.6688,32971,32282,25393,25983,25442,24605,24802,28099,24654,27164,27804,28690,28345
A000240,한국타이어월드와이드,12,19681227,1.068802,1.202369,22743.43,15580.88,24151.15,2353168060.71,2506418760.32,,12.37,0.93,9.92,9.85,229263915.99,229263915.99,188230508.41,1838.27,9.63,7.57,7.85,283.44,175.81,488.92,71609757.46,77269826.41,23531.68,25064.19,4200.18,3247.25,100,100,0.09227,0.09435,16950,17500,17200,18100,18450,18300,17500,17750,19900,22950,22700,23350,22250
A000250,삼천당제약,12,20001004,0.90289,0.968429,2063.18,2410.56,1396.76,117559510.23,122210857.43,,17.08,1.89,1.7,7.31,91518178.68,46276807.98,10268094.4,172.64,5.47,10.53,13.34,17.03,159.41,195.5,5080289.01,6221354.52,1175.6,1222.11,291.26,354.73,54.15,54.88,0.75358,0.72544,11550,10150,9160,9180,9860,9690,9180,9090,8120,8440,8950,9830,10550
A000270,기아차,12,19730721,0.781126,0.74688,212005.03,183629.6,224838.65,26862906000,30311721000,,7.08,0.94,0.45,3.71,29850115000,5725320000,1434647000,29935.93,11.13,7.75,14.01,17.26,47765.93,23638.25,2547393000,3902908000,268629.06,303117.21,124.67,139.09,21.19,19.84,1.38809,1.21972,45600,43900,48700,53600,55800,52500,52600,45150,47100,48300,47900,46650,43200
A000300,대유플러스,12,19750609,0.538521,0.664621,1083.88,1022.2,1069.49,238456058.54,162211535.15,,-14.3,1.11,0.22,7.49,336624995.45,15824243.69,-671411.53,-38.64,1.17,-0.57,-3.6,1.57,754.06,171.86,21824308,6631669.21,2384.56,1622.12,141.89,108.97,8.28,7.59,0.67857,0.74559,1155,1180,1090,1115,1170,1145,1190,1100,1140,1195,1240,1270,1275
A000320,노루홀딩스,12,19730810,0.474258,0.4757,3312.85,3629.62,4398.42,281605638.62,290205704.22,1.39,14.22,0.93,0.5,6.51,35964059.08,35964059.08,17612001.96,370.93,4.26,4.23,8.81,4.9,479.46,528.79,28093382.11,27799094.22,2816.06,2902.06,101.58,117.98,23.71,26,0.72644,0.7647,27650,32700,27300,27900,28750,24200,24500,23400,21200,22150,20800,21050,19050
