Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000020,동화약품,12,19760324,0.936799,0.895417,470.92,1030.67,1510.78,194233925,195293494,,8.8,0.43,0.47,3.49,137961857,66126908,14651599,74.24,3,3.81,4.99,7.87,190.87,235.28,11514790,11961630,1942.34,1952.93,372.98,419.18,48.1,47.93,0.62174,0.70836,3540,3260,2990,3480,4000,4600,3750,3430,3440,3080,5040,5500,5080
A000040,KR모터스,12,19760525,0.394239,0.352514,372.44,591.49,330.65,87561150,81250312,,-1.64,1.07,0.38,-4.09,80083784,4275245,-14207858,-185.5,4.32,-21.98,-48.11,-24.07,16.69,-80.52,10260909,28190608,875.61,812.5,131.61,187.38,11.43,5.34,0.82644,0.9488,884,1214,1064,1124,1169,1386,1409,2308,2270,2030,1911,1326,1266
A000050,경방,12,19560303,0.379307,0.387781,1079.52,1352,3819.55,534608754,515345506,,-11.45,0.28,0.62,48.08,173896808,9483242,-6934565,-94.46,0.04,-1.8,-2.44,-1.52,-395.57,51.5,15681866,17344611,5346.09,5153.46,68.87,71.16,7.75,5.45,0.34831,0.33125,4942,4942,4972,5854,8895,7906,12012,12164,9693,10187,10985,10643,12050
A000060,메리츠화재,12,19560702,1.61237,1.51627,1488.63,1973.4,2267.28,2332001973,2676077924,,7.2,0.61,0.08,-1.8,1989726553,,12995111,211.13,0.89,0.84,9.94,,1301.33,2387.3,,,23320.02,26760.78,,,0,0,0.85405,0.79461,1792,1796,2063,2856,2748,3336,4087,4288,3715,3537,4489,4450,4373
A000070,삼양홀딩스,12,19681227,0.640084,0.621812,3376.38,4429.65,6938.78,957379494,973804019,19.36,7.42,0.48,0.44,4.02,890163246,182091759,50614065,530.14,4.08,5.49,7.89,8.87,560.14,843.86,83155690,60878366,9573.79,9738.04,82.77,84.24,20.64,20.46,0.84207,0.92188,47947,50482,42215,50702,50702,54284,49820,61945,59410,63157,67015,61945,57977
A000100,유한양행,12,19621101,0.43678,0.459733,6520.39,9580.74,5188.56,644303431,746417156,11.81,13.4,1.36,2.06,7.59,340404741,148412026,48412764,523.55,8.46,7.53,10.7,14.32,273.84,273.1,66487837,95212024,6443.03,7464.17,233.13,229.91,44.17,43.6,0.48759,0.48954,81706,83792,86921,95266,90746,131077,132584,126392,126392,116193,112915,105630,105994
A000120,CJ대한통운,12,19560702,1.152646,1.112967,2801.84,6071.32,7799.79,1301121290,1267194680,,7.16,0.18,0.12,2.38,1119329060,126117398,60903639,188.57,3.03,1.47,2.4,3.45,1073.75,852.92,327362215,325630138,13011.21,12671.95,183.38,206.66,11.15,11.27,0.84818,0.87164,28538,31596,27519,32106,35928,42706,40514,39189,41279,38731,39750,36947,35112
A000140,하이트진로홀딩스,12,19730919,0.413778,0.40677,16413.61,17123.91,9128.36,1848980997,1851564645,42.19,16.61,1.88,2.13,8.86,860807757,436107150,174804971,1101.96,6.35,5.96,12.59,8.89,1561.23,1817.67,349272372,130290172,18489.81,18515.65,67.43,52.27,54.55,50.66,0.45783,0.46523,94526,112683,112149,137783,134579,161281,153804,131909,150600,147930,132443,109479,101361
A000150,두산,12,19730629,1.012744,1.038452,2635.92,2725.77,6343.05,2896032884,2674081845,288.49,-7.64,0.38,0.16,9.37,2037902072,690647766,63575771,-418.39,0.36,-1.5,-6.6,4.6,1044.95,1044.15,1029713305,1056720146,28960.33,26740.82,44.74,56.34,38.35,33.89,0.65558,0.73173,13186,15803,16742,19359,18174,29384,33582,29779,36051,36051,35113,29532,30026
A000180,성창기업지주,12,19760602,1.292116,1.302451,1140,981,1186.32,239553887,241072203,,7.98,0.58,0.39,8.18,178310414,34544208,15394154,86.62,9.92,3.6,7.58,7.19,94.7,69.41,71929158,67975732,2395.54,2410.72,74.6,85.66,16,19.37,0.71006,0.74199,1720,1706,1317,1568,1416,1617,1573,1366,1332,1386,1529,1268,1278
A000210,대림산업,12,19760202,1.086874,1.034615,18722.4,19279.2,19074.98,3048099993,3509664802,210,5.19,1.09,0.53,3.57,4073018661,545434508,305188640,4154.97,7.45,12.67,23.39,27.79,3482.32,68.96,259541778,584120041,30481,35096.65,116.08,152.23,13.21,13.39,1.13634,1.2422,54900,63000,61500,73600,60800,68000,72000,80000,65200,77000,72000,69000,59600
A000220,유유제약,12,19751118,0.650905,0.790945,180.19,409.37,491.15,64604681,88252762,12.98,5.89,0.59,0.54,3.09,57314695,32765586,7613356,52.99,7.22,6.93,11.21,9.33,40.5,67.66,8857062,29145911,646.05,882.53,285.03,506.68,62.74,57.17,0.82559,0.74991,7360,7660,7500,8800,11780,15560,15200,16700,17750,16000,15000,15100,11900
