Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000020,동화약품,12,19760324,0.886537,0.84023,1477.57,1361.66,2139.15,308991731,324009899,,27.23,0.69,0.69,6.65,215279424,93796693,10317239,54.27,2.17,1.72,2.57,5.13,299.2,185.88,7427668,27437308,3089.92,3240.1,113.75,147.41,45.15,43.57,0.46776,0.68019,4840,5970,5170,4440,4525,4310,4080,4840,4630,4530,4875,4990,5180
A000040,KR모터스,12,19760525,1.179516,1.158735,805.55,658.76,678.03,132393313,144309753,,15.15,1.13,0.5,6.65,144521458,19222933,6851108,48.11,-7.56,3.48,7.53,9.31,-38.44,170.73,14965137,14348414,1323.93,1443.1,116.19,139.03,11.21,13.3,0.75113,1.0446,823,980,1007,734,757,706,996,1442,1178,1116,1064,916,1019
A000050,경방,12,19560303,1.422546,1.375979,2506.4,2620.8,7766.91,1452886942,1410675955,,11.3,0.32,0.92,8.89,272270974,48861277,41704894,222.25,0.58,1.55,2.9,2.85,245.7,214.7,547456334,496887631,14528.87,14106.76,84.84,72.68,2.95,17.95,0.15857,0.19016,9465,9047,8705,7397,7169,7313,7131,7868,8933,8667,7488,6652,7070
A000060,메리츠화재,12,19560702,1.510232,1.573246,10782.98,11475.96,6155.62,6034989032,6973858797,,9.45,1.31,0.25,5.18,4490624442,,144028193,1209.49,2.49,1.86,18.67,,870.52,1953.68,,,60349.89,69738.59,,,0,0,0.72448,0.6904,13200,12250,10850,10700,10700,11800,11800,11800,12250,12900,11700,11700,11200
A000070,삼양홀딩스,12,19681227,0.799272,0.795122,6992.62,10518.98,9233.63,1328144783,1483645323,19.36,6.59,0.75,0.49,5.2,1665497201,202145846,31476348,1234.54,6.87,8.78,14.39,8.96,818.07,416.63,153660130,124394172,13281.45,14836.45,138.86,116.64,14.43,12.14,1.23283,1.18465,118150,130468,123749,90488,90600,90600,77200,89300,73700,74200,60100,52500,48550
A000080,하이트진로,12,20091019,0.618808,0.604379,14335.34,14112.61,6207.89,1402469264,1356198041,0.23,23.79,2.23,2.1,11.6,705579079,293717059,86933596,622.91,8.92,4.52,9.12,16.6,337.88,1014.41,88323581,171719602,14024.69,13561.98,45.1,44.48,44,41.63,0.50106,0.51154,34150,35450,32650,25250,25500,30000,25150,25000,25000,25750,24500,20500,21600
A000100,유한양행,12,19621101,0.403722,0.398212,18436.73,15055.94,10724.64,1115568119,1243176242,11.81,15.48,1.8,3.05,12.37,649324308,266731235,77964848,1280.26,11.36,10.86,12.55,18.16,1237.26,1410.13,43770886,43982109,11155.68,12431.76,483.7,435.6,43.25,41.08,0.59004,0.55057,124827,134465,111977,99127,112436,112436,117026,123450,110142,108306,97292,106011,122533
A000120,CJ대한통운,12,19560702,0.544967,0.525042,21489.23,24637.33,19140.85,2574978783,2684139514,,31.47,0.86,1.02,13.32,2097718780,186726588,98690333,682.81,0.16,2.6,3.66,5.77,3256.48,264.31,245994347,227781976,25749.79,26841.4,113.05,114.84,9.55,8.9,0.43571,0.79775,105500,101000,88100,66700,76700,71100,75000,88900,82900,80000,78100,62500,78100
A000140,하이트진로홀딩스,12,19730919,1.230778,1.212576,4687.77,3631.86,5989.51,1717189192,1667886777,23.54,-13.09,0.74,17.15,74.9,27895573,26852737,23490237,-365.37,1.58,-2.16,-4.89,64.21,-185.99,466.39,253258026,416983348,17171.89,16678.87,1.05,0.78,100,96.26,0.03781,0.01648,15700,17200,14700,10100,11150,10750,10750,11700,11800,11300,10550,9030,9370
A000150,두산,12,19730629,1.818139,1.743679,38565.62,31358.89,20448.86,2748424426,3187593688,288.49,17.82,1.74,3.05,14.2,1531038836,442845863,252692241,2623.79,8.39,8.84,13.59,37.71,286.85,952.59,581604574,522694967,27484.24,31875.94,141.41,120.18,21.54,28.93,0.43437,0.51585,125932,146180,133340,134328,140748,138279,141242,151119,165934,149143,136303,123463,127908
