Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000020,동화약품,12,19760324,0.580982,0.598725,1226.19,1583.71,2272.31,324284672.39,316165540.73,,121.18,0.54,0.56,7.56,220240574.7,103706156.47,2062220.16,10.12,0.4,0.32,0.45,-0.88,252.27,82.05,14690149.39,15561801.29,3242.85,3161.66,146.78,159.13,44.22,47.09,0.67309,0.68777,5650,5100,5170,5400,6100,5790,5570,5980,6250,7510,8330,9370,9070
A000040,KR모터스,12,19760525,0.709488,0.723949,522.72,1384.36,573.15,126906068.3,116931646,,-8.02,0.87,0.5,-21.8,97370568,6550007,-10555706,-66.14,-6.52,-5.6,-11.2,-4.56,-45.66,8.45,14766579.89,13664282,1269.06,1169.32,140.95,129.91,5.87,7.59,0.77515,0.84275,1693,1497,1274,1314,1367,1488,1551,1581,2038,2135,1851,1686,1618
A000050,경방,12,19560303,0.641696,0.663641,2716.6,3166.46,6364.39,1301719900.48,1261257414.45,,20.48,0.47,0.86,11.21,264782076.83,41363194.32,35902114.65,145.74,-0.59,1.11,2.32,8.81,177.89,511.54,510644718.03,487111804.42,13017.2,12612.57,74.98,76.48,21.82,27.57,0.24829,0.26382,11550,12400,17900,16550,19100,18900,18200,16700,17100,19400,26200,24300,24800
A000060,메리츠화재,12,19560702,0.443587,0.44723,15351.31,12514.11,10428.36,10162150527.76,11043466593.43,,11.56,1.46,0.36,6.21,4310130924.73,,174369288.41,1336.86,1.44,1.26,12.58,,5892.85,8138,,,101621.51,110434.67,,,0,0,0.57762,0.40692,12250,13400,13700,13100,12800,12150,12450,12200,13100,11400,14300,14550,16250
A000070,삼양홀딩스,12,19681227,0.959287,0.980025,6095.17,5580.43,16582.09,1061522052.62,1122216976.09,15.2,-19.15,0.44,0.27,12.44,272552959.78,47468235.54,12152203,-262.08,5.6,-0.98,-1.58,0.52,981.95,-232.19,142454501.07,93498410.54,10615.22,11222.17,163.19,160.65,12.84,13.02,0.80471,0.87177,68300,76900,83600,87000,89000,88800,89700,94600,90400,92000,102000,108000,233000
A000080,하이트진로,12,20091019,0.538724,0.582324,15464.46,15394.33,13831.21,3464862523,3398638439,56.74,19.73,1.09,0.82,8.51,1628737709,719262734,142860640,791.03,2.92,2.24,5.67,6.64,1047.83,2460.13,620134025,697658342,34648.63,33986.38,55.13,57.08,42.84,43.36,0.57378,0.53663,21950,22850,23100,23150,26450,25250,23250,23250,22850,22200,22700,21400,22650
A000100,유한양행,12,19621101,0.442785,0.463195,20855.26,20186.11,12282.46,1344865198.86,1390058379.92,11.81,24.71,1.6,2.26,15.8,931612328.11,283442801.47,55971011.2,864.61,5.95,5.93,7.16,10.93,723.79,797.78,41538535.46,26794637.86,13448.65,13900.58,402.12,315.19,31.63,31.13,0.57152,0.64696,162918,162459,158788,170720,162000,159705,155575,156952,156952,171637,212023,245065,250572
A000120,CJ대한통운,12,19560702,0.876638,0.92224,22812.34,27488.87,22482.07,2970388010.51,3791635825.83,,-40.9,0.79,0.6,50.39,3394964222.86,214398392.44,31336301.8,-600.61,1.92,-1.45,-2.63,-3.69,1169.39,-738.28,230155771.75,964870640.88,29703.88,37916.36,112.86,138.94,9.81,7.84,0.72336,0.91687,119000,135500,155500,167500,193000,196500,196000,191500,181000,195000,204500,188000,194000
A000140,하이트진로홀딩스,12,19730919,1.179279,1.249219,2691.98,2610.76,12383.16,1780971764.32,1768073953.49,23.54,-4.85,0.43,0.14,9.52,52206284.55,52206284.55,49211396,-517.77,1.38,-1.19,-4,-6.74,488.21,2326.94,399754720.86,189661512.39,17809.72,17680.74,42.69,40.79,43.11,43.12,0.45459,0.44634,11450,12700,13550,13250,12500,12650,12200,11550,12000,12600,13900,15200,14300
A000150,두산,12,19730629,1.438941,1.418913,29130.49,26106.4,90579.83,3149139071.47,3319134292.42,269.84,29.66,0.96,0.17,8.87,1652024598.31,464771175.96,195440822,1301.68,1.07,0.42,1.61,4.95,-792.49,3833.62,727258967.92,836083748.82,31491.39,33191.34,104.03,104.18,16.82,16.2,1.28844,0.68983,123500,123500,120500,103500,111000,115500,103500,104000,119500,116500,124500,114500,109000
A000180,성창기업지주,12,19760602,0.665118,0.68707,961.56,1233,2534.23,87598360.99,87495015.54,,-22.87,0.38,0.65,58.39,7890424.38,7890424.38,1322807,-42.58,41.06,-1.31,-1.67,-0.63,-98.66,-63.42,681842.86,242221.69,875.98,874.95,201.86,141.86,15.69,14.62,0.5067,0.46215,2104,2354,2345,2138,2060,1937,1907,2089,2251,2753,3175,4503,3357
A000210,대림산업,12,19760202,1.287436,1.319869,32746.8,29336.4,48703.35,10165866335.32,9929195686.6,210,-146.25,0.77,0.37,41.51,8441746614.09,714955831.26,275218736.59,-103.32,3.68,-0.1,-0.21,-2.35,8168.88,346.95,1124451241.33,1122162350.72,101658.66,99291.96,152.6,155.44,10.08,5.17,0.94192,0.90382,86800,93000,87400,75500,70900,67500,65800,55000,64800,64600,83000,78300,82000
A000220,유유제약,12,19751118,0.652199,0.689169,381.96,416.37,722.76,85197349.56,92253471.94,12.98,26.78,0.58,0.81,9.78,53388518.11,30736574.8,1273293.65,19.32,3.37,2.09,2.73,3.13,65.1,-7.75,5553334.8,8088696.38,851.97,922.53,253.4,282.14,57.04,52.22,0.69965,0.67041,7100,7440,9810,9220,8020,8110,7650,8800,9400,10050,10950,11650,18000
A000230,일동홀딩스,12,19750628,0.177589,0.204961,2531.87,3534.6,3266.05,522808624.23,612257822.44,,38.43,0.74,0.63,11.04,378247025.99,199298740.93,23184925.56,67.4,3.25,1.15,2.07,1.55,184.78,156.48,76806079.73,124988266.02,5228.09,6122.58,166.34,158.17,52.65,51.36,0.6888,0.67565,14173,13779,14025,16879,15993,15206,14812,16535,19241,17568,18897,21948,32676
A000240,한국타이어월드와이드,12,19681227,1.156743,1.259137,20510.95,20883.03,22713.31,974311229.18,2353168060.71,,8.29,0.89,8.65,10.48,153514281.2,153514281.2,119576096.07,1601.52,118.54,9.63,10.34,186.8,4884.99,175.81,64638589.49,71609757.46,9743.11,23531.68,618.37,4200.18,100,100,0.01423,0.09227,22300,22800,21850,21000,21700,21300,24450,25200,23700,21100,21250,19650,16750
A000250,삼천당제약,12,20001004,1.136393,1.192076,922,1690.55,1192.31,102568738.12,117559510.23,,10.57,0.96,0.88,5.03,80391265.1,41593446.23,9102842.24,75.89,,5.47,7.37,14.02,16.02,159.41,4822703.16,5080289.01,1025.69,1175.6,233.51,291.26,49.67,54.15,,0.75358,8330,9230,8230,9890,12000,11200,9800,10850,10250,11900,11750,11800,11450
A000270,기아차,12,19730721,0.877308,0.824573,227408.84,229435.65,202547.95,24480107000,26862906000,,5.96,1.12,0.48,3.32,28332572000,5734981000,1481623000,38170.59,12.34,11.13,20.58,24.56,43454.25,47765.93,3084861000,2547393000,244801.07,268629.06,111.39,124.67,22.66,21.19,1.50807,1.38809,55700,60900,61200,53700,52100,55700,52300,46000,45500,45200,49600,47650,45300
A000300,대유플러스,12,19750609,0.791505,0.905794,1158.94,1832.91,1078,243422864.91,238456058.54,,28.78,1.13,0.27,3.43,330007626.69,15113781.03,2014020.09,72.91,-2.99,1.17,6.98,5.85,-24.13,754.06,17889476.94,21824308,2434.23,2384.56,123.03,141.89,0.91,8.28,0.62466,0.67857,2100,1635,1480,1410,1280,1375,1230,1245,1280,1385,1330,1250,1160
A000320,노루홀딩스,12,19730810,0.630231,0.647628,2157.97,2732.11,4024.51,264856912.8,281605638.62,1.39,8.46,0.64,0.36,5.92,39806208.7,39806208.7,22490957.84,359.79,2.33,4.26,9.29,3.97,143.99,479.46,34592945.14,28093382.11,2648.57,2816.06,117.42,101.58,21.45,23.71,0.72167,0.72644,21300,21900,20700,23400,25400,23500,25100,22900,22700,30550,28000,31750,27500
A000360,삼환기업,12,19730903,0.633033,0.707862,285.55,178.69,506.53,808715659.96,541780168.62,54.37,-0.13,0.6,0.06,-0.61,533358247.1,-8183311.86,-55831492.1,-2796.81,-15.46,-24.68,-208.34,-15.6,496.14,-98.28,283736254.35,225370105.82,8087.16,5417.8,91.76,106.64,-15.02,-2.33,0.30013,0.47501,2315,2195,2160,1900,1285,1820,1485,1410,1310,1310,,,
A000370,한화손해보험,12,19750630,1.036234,0.988907,4155.84,4872.68,5466.83,7886561695,8998622480,,-6.29,0.75,0.07,-10.07,3815309441,,-50151405,-416.87,0.45,-0.49,-8.13,,5632.79,7927.6,,,78865.62,89986.22,,,0,0,0.67185,0.45305,5266,5873,5961,5736,5276,4757,4497,4096,4370,4551,4796,5765,6019
