Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000010,신한은행,12,19560303,1.303875,1.222174,27843.86,27334.52,22922.98,55080936000,66196288000,0,-4.75,1.21,0.52,-28.77,5317063000,2447569000,-134749000,-5860.45,0.99,-0.97,-24.28,,14375.12,16341.75,,,550809.36,661962.88,,,27.67,13.57,0.09846,0.08768,3990,3770,3850,3350,3835,3340,3910,3780,4140,2830,2955,2520,2160
A000020,동화약품,12,19760324,0.783985,0.774528,363.67,391.6,1405.04,215747248,201468457,,3.82,0.24,0.25,2.67,134382520,66212912,17433582,86.83,2.94,4.16,6.31,8.46,306.1,203.6,24409241,13141488,2157.47,2014.68,268.15,297.82,45.03,49.27,0.57055,0.64419,1382,1780,1638,1568,1404,1356,1350,1344,1394,1408,1340,1312,1384
A000040,KR모터스,12,19760525,0.498605,0.430853,37.72,96.95,70.13,101334998,104023711,,0.05,0.51,0.04,0.77,91985226,12525389,1416096,675.21,-19.49,65.76,-162.47,2.23,84.23,54.61,102918737,54487277,1013.35,1040.24,47.63,120.51,18.2,13.62,0.89836,0.89585,1221,944,1056,1094,1161,1678,802,809,787,659,764,719,569
A000050,경방,12,19560303,0.29385,0.283146,511.68,592.8,3918.71,549523394,531981812,,12.92,0.13,0.24,5.68,191323101,22149925,6794609,35.3,-0.06,0.65,0.92,1.18,62.91,113.47,41389888,34291952,5495.23,5319.82,60.08,74.26,9.16,11.58,0.32026,0.35381,2132,2129,2250,2494,2866,3030,2820,3231,3372,3915,4485,3961,3725
A000060,메리츠화재,12,19560702,1.249662,1.204924,1081.08,1265.55,1796.85,1938489965,2150525359,,2.32,0.4,0.04,-1.91,1912227167,,49823530,340.59,2.44,1.67,20.84,,2356.41,1597.31,,,19384.9,21505.25,,,0,0,1.05025,0.9353,1134,1138,1262,983,1056,1122,1146,1250,1544,1339,1285,1215,1223
A000070,삼양홀딩스,12,19681227,0.57901,0.5216,1939.2,1826,6118.8,902847204,913486376,19.36,7.31,0.32,0.63,5.43,402796646,91767031,32288314,348.16,0.78,3.77,5.83,6.66,89.29,466.5,81648938,94421206,9028.47,9134.86,72.07,79.48,19.09,22.78,0.90559,0.43662,20832,19454,20722,19840,21603,21493,21989,22044,22155,23091,24635,20446,21989
A000100,유한양행,12,19621101,0.368816,0.399244,3446.94,3957.35,4146.81,565621472,613298831,12.4,8.29,0.9,1.33,4.32,284981827,128140330,44826861,456.9,7.34,7.75,11.65,15.29,483.2,249.59,72077732,61181103,5656.21,6132.99,202.9,199.37,45.35,44.96,0.46928,0.48346,35454,40899,41975,36783,41152,39252,44962,42243,47084,46752,47018,45691,47084
A000110,한국스탠다드차타드은행,12,19560303,0.693476,0.431156,8464,8464,16667.38,26491708000,32231343000,0,5.11,0.31,0.26,24.38,2005120000,774561000,84159000,1015.15,0.86,0.35,6.36,,3070.24,2099.59,,,264917.08,322313.43,,,30.45,31.31,0.08187,0.06829,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645
A000120,CJ대한통운,12,19560702,1.361148,1.364636,836.46,1130.77,7544.01,1239450466,1285709386,,0.96,0.06,0.04,0.51,1086087200,122989910,62017355,440.38,3.85,3.49,6.08,5.76,1027.1,1133.7,406984831,365768034,12394.5,12857.09,224.77,197.76,11.57,11.32,0.78514,0.86021,5708,6192,7186,6905,7058,8001,9988,10447,10447,9428,10141,11466,12052
A000140,하이트진로홀딩스,12,19730919,0.575101,0.552548,9425.83,12305.41,7679.88,1682775169,1743356645,42.19,9.98,1.34,1.32,6.17,793684528,430865823,216467550,1049.55,4.21,6.13,14.5,10.95,1375.43,960.01,239528342,351267355,16827.75,17433.57,52.33,62.65,54.94,54.29,0.44032,0.46331,72630,79466,71455,74766,96128,90253,93351,97409,96128,88758,91855,80961,87583
A000150,두산,12,19730629,0.593892,0.619218,1858.13,2005.94,6973.57,3347944586,2970953844,288.49,-0.91,0.3,0.11,-122.18,2033360355,778423666,38854638,-2548.17,-0.66,-8.07,-31.66,0.13,-294.67,1816.67,1283001749,1215410793,33479.45,29709.54,76.67,50.09,27.68,38.28,0.53212,0.64358,9403,9383,9877,8060,9818,10025,12149,10420,10815,10223,11951,10075,8573
A000180,성창기업지주,12,19760602,0.78504,0.748034,491.4,543,858.02,246707655,247905448,,6.77,0.73,0.36,7.18,174921923,37931341,18738675,92.76,-5.84,3.75,11.43,8.5,-21.01,118.48,71013214,74674563,2467.08,2479.05,42.23,52.31,19.4,21.69,0.60132,0.70731,928,783,754,751,718,715,758,718,806,749,696,643,619
A000210,대림산업,12,19760202,1.352047,1.214319,5628.75,8216,14983.56,3107577286,2810743774,210,5.12,0.37,0.23,2.38,2652180595,319066046,128326757,1216.96,0.99,4.11,7.88,3.09,4510.34,2855.25,565351806,420886533,31075.77,28107.44,156.13,141.21,12.18,12.03,0.78595,0.89626,20550,21200,25900,24200,30200,34500,42000,39300,39600,40000,43600,36900,36200
A000220,유유제약,12,19751118,0.324793,0.446645,188.73,204.87,422.85,53047071,56740618,12.98,5.7,0.48,0.5,2.62,44721365,29522021,6286696,39.01,6,7.11,9.35,10.65,48.84,40.78,4087087,5173032,530.47,567.41,309.88,272.52,62.13,66.01,0.68742,0.81469,3210,3030,3000,2840,2830,2680,2760,2810,2920,2800,2620,2590,2570
A000230,일동홀딩스,12,19750628,0.990284,0.84025,299.52,338.86,899.35,161421887,170138728,,2.19,0.31,0.19,2.36,155163576,91677176,29469934,132.62,5.44,8,16.07,15.19,236.72,139.37,38404509,32884479,1614.22,1701.39,156.57,178.44,57.62,59.08,0.78174,0.93596,1335,1592,1622,1561,1546,1483,1446,1443,1422,1426,1460,1433,1561
A000240,한국타이어월드와이드,12,19681227,0.775403,0.745586,3311.69,8846.19,10010.1,1909891346,1857322267,,4.69,0.32,0.21,2.59,1578516480,416887759,103276027,694.88,1.57,3.69,7.14,5.95,2297.88,2970.43,350563223,271564661,19098.91,18573.22,76.13,85.93,27.81,26.41,0.72842,0.83803,5823,5942,6774,6160,8091,9141,8913,8280,9666,10300,9428,8824,10003
A000250,삼천당제약,12,20001004,0.685143,0.834059,280,334,428.45,56149993,61314641,,4.88,0.62,0.68,0.73,40891819,25666768,8622618,57.36,18.18,9.77,13.68,25.51,75.46,54.03,4148171,4273363,561.5,613.15,430.37,371.27,66.85,62.77,0.77614,0.69624,1680,1700,1650,1685,1750,1765,1730,1650,1670,1580,1605,1470,1575
A000270,기아차,12,19730721,0.552034,0.529043,32536.28,32536.28,39437.16,8438466000,8962680000,,4.78,0.82,0.27,2.42,12158113000,2576721000,658493000,6804.07,6.65,7.82,18.55,17.03,11621.65,20973.55,2504551000,2339421000,84384.66,89626.8,95.24,109.02,23.34,21.19,1.34024,1.39739,8940,9030,9130,8000,8300,10500,10900,10950,10900,11800,10900,9530,9870
A000300,대유플러스,12,19750609,0.653949,0.623518,110.05,58.3,304.15,93379809,54903991,,0.24,0.36,0.1,0.43,84307679,-4493904,-11243731,339.87,-11.84,45.84,2601.97,-26.84,111.64,-38.12,80492597,15399426,933.8,549.04,71.26,198.46,1.79,-5.33,1.06566,1.13711,662,746,664,641,547,614,502,467,459,416,416,464,596
A000320,노루홀딩스,12,19730810,0.767722,0.720674,577.73,600.14,1991.92,325231489,331354636,2.54,2.87,0.26,0.34,2.5,204712154,36277698,7230740,245.27,3.48,7.47,13.13,2.46,43.91,-5.03,76625454,37467884,3252.31,3313.55,102.71,110.16,18.79,17.72,0.63042,0.62357,2401,2317,2361,2357,2397,2485,2499,2494,2290,2410,2574,2437,2423
A000360,삼환기업,12,19730903,0.855932,0.837883,626.74,655.12,3672.24,721704861,660991593,72.51,4.75,0.17,0.17,1.54,413614532,49765796,28623653,148.44,2.11,2.15,4.12,9.44,764.5,656.86,134044064,101637678,7217.05,6609.92,159.34,157.92,10.76,12.03,0.63497,0.59827,7371,6943,7731,7264,7424,7357,7090,6837,6890,6930,7664,7184,7144
A000370,한화손해보험,12,19750630,0.813865,0.69157,294.16,910.06,811.28,1067630666,1086862592,,-0.39,0.85,0.03,-0.26,911496656,,-33783558,-700.78,0.68,-6.51,-87.67,,327.76,46.74,,,10676.31,10868.63,,,0,0,0.84137,0.84614,5219,4075,5069,4013,4001,3032,2609,2609,3355,3367,5144,3305,2431
