Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000020,동화약품,12,19760324,1.06925,0.926303,2994.25,3050.12,1791.42,197948382,220422961,,14.63,1.76,1.8,8.05,175119773,97465624,33544838,214.95,4.13,10.28,12.64,15.04,231.86,236.55,10897247,8360598,1979.48,2204.23,509.94,414.24,48.87,55.66,0.76163,0.83715,11080,10200,8390,6340,4900,6400,6180,6430,7520,8090,7980,9050,9900
A000040,KR모터스,12,19760525,1.362752,1.228558,1061.69,752.03,509.66,100927482,102258423,,7.99,1.99,0.74,5.43,133962875,16926404,-3297281,124.01,-8.76,12.21,29.16,-5.33,-30.66,-72.96,20375292,11765507,1009.27,1022.58,117.5,148.55,9.96,12.64,1.14127,1.31862,981,1064,809,697,457,480,442,487,607,629,944,802,712
A000050,경방,12,19560303,0.562954,0.545115,4056,2964,4209.79,593111516,561331864,,6.72,0.96,2.67,4.89,152194104,1471600,-13154824,604.85,-3.95,10.48,15.48,-2.2,53.91,-355.11,31947823,40582898,5931.12,5613.32,60.93,85.7,6.81,0.97,0.28427,0.26367,10415,10263,9579,8363,4942,4295,4637,5291,4896,5496,9769,10757,11518
A000060,메리츠화재,12,19560702,1.407854,1.38706,15784.5,12503.8,4561.49,3747770348,4564535014,,12.69,2.01,0.29,7.62,3080198202,,84236073,711.48,1.04,1.71,19.87,,4443.3,-1791.1,,,37477.7,45645.35,,,0,0,0.74286,0.74112,8992,8947,8500,7336,4151,3087,3239,3216,2997,3462,5180,5440,5637
A000070,삼양홀딩스,12,19681227,0.926001,0.934302,5620.73,4808.68,7713.97,1130549007,1125630001,19.36,107.08,0.74,0.58,11.86,1145460521,201422886,54164819,62.14,2.1,0.55,0.8,6.86,389.38,481.79,107565893,75530938,11305.49,11256.3,109.01,96.79,15.74,17.58,1.04701,1.0154,52803,51011,47484,41436,34381,33597,34605,31189,35837,39029,42780,43452,47932
A000100,유한양행,12,19621101,0.935877,0.880164,18534.53,21038.25,7558.07,918243962,972624834,11.81,21.8,2.63,4.16,16.17,482204804,227706166,59287163,919.54,7.47,9.73,12.88,15.48,299.29,830.24,76259174,46798151,9182.44,9726.25,181.36,198.14,48.19,47.22,0.4583,0.51004,174394,168394,179193,171994,149994,170794,184374,168451,161746,155042,165937,146661,156718
A000120,CJ대한통운,12,19560702,0.687484,0.634652,16149.55,40937.35,6829.15,1354739968,1394848876,,10.83,1.21,0.65,9.26,1266910266,137699158,62992422,760.03,-25.7,5.53,11.79,4.75,1386.35,437.23,485255327,453798659,13547.4,13948.49,134.87,121.78,11.15,10.87,0.87348,0.92153,51726,50860,49076,49178,42808,43827,45356,46885,48413,51726,53000,95000,81600
A000140,하이트진로홀딩스,12,19730919,0.663151,0.627804,30206.02,24906.72,13224.34,2674500035,2766796987,42.19,24.51,2.38,3.48,12.7,962948778,527476622,230702604,1368.51,3.36,5.03,10.74,13.85,2079.68,2513.94,582868032,350500136,26745,27667.97,50.58,44.62,53.22,54.78,0.32223,0.35394,125500,45400,34550,28400,22300,17900,16400,16000,16350,27200,32400,28850,31450
A000150,두산,12,19730629,2.08901,1.997327,43999.42,43255.79,6977.07,2503500280,2205573653,288.49,153.89,5.87,2.85,19.37,1881155139,612598186,92524383,347.99,0.91,1.48,5.22,12.54,263.33,1813.94,892170063,658693439,25035,22055.74,67.54,70.61,31.42,32.57,0.75452,0.79895,164947,164947,121982,115561,90375,70028,95314,104697,97684,98771,126426,108154,87906
A000180,성창기업지주,12,19760602,1.004748,1.033158,1452,1215,992.31,251482566,253090576,,-27.64,1.42,3.47,-107.43,41957437,3787863,-2573248,-52.64,3.72,-2.03,-5.08,-1.16,-15.6,62.89,67629640,73190028,2514.83,2530.91,89.2,75.65,13.57,9.03,0.64595,0.16161,1966,1912,1814,1956,1081,1470,1897,1843,1799,1927,2055,1917,1750
