Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000020,동화약품,12,19760324,0.581232,0.634446,1687.06,1854.65,2269.95,339431477.17,324284672.39,,128.66,0.74,0.76,7.91,223371996.54,98772673.64,10002903.56,13.11,5.33,0.4,0.57,0.55,462.44,252.27,21947411.59,14690149.39,3394.31,3242.85,150.6,146.78,44.51,44.22,0.70711,0.67309,6860,7000,6210,6010,5570,5000,4390,4925,5190,5530,6000,5780,5670
A000040,KR모터스,12,19760525,1.163064,1.159671,589.55,533.46,607.97,139616455.2,126906068.3,,-7.6,0.88,0.57,-15.13,96940269.24,6043435.98,-4245825.7,-82.32,1.4,-6.52,-12.71,-7.89,-84.3,-45.66,14405907.21,14766579.89,1396.16,1269.06,145.56,140.95,12.11,5.87,0.93957,0.77515,646,700,779,850,737,679,656,944,863,1143,1866,1648,1738
A000050,경방,12,19560303,1.45951,1.444874,1863.68,3239.99,6207.04,1331930967.81,1301719900.48,,-28.29,0.36,0.67,19.17,265409209.32,14809106.67,8240616,-79.1,-0.08,-0.59,-1.27,0.83,-146.47,177.89,293210709.55,510644718.03,13319.31,13017.2,33.75,74.98,25.66,21.82,0.2501,0.24829,12015,11970,11788,10513,10513,9740,10900,11250,11900,13800,13350,12100,11550
A000060,메리츠화재,12,19560702,1.15989,1.243535,13683.05,12868.76,10895.27,8654491021.44,10162150527.76,,8.51,1.06,0.21,3.29,5430283674.8,,180562972.83,1355.67,,1.44,13.66,,10017.43,5892.85,,,86544.91,101621.51,,,0,0,,0.57762,12550,13950,12800,13800,14950,14800,15150,15050,15050,14850,12850,12750,12350
A000070,삼양홀딩스,12,19681227,0.744695,0.746424,5470.55,7083.79,16629.55,912354586.51,1061522052.62,11.12,4.24,0.41,0.26,3.27,349865452.11,47417395.43,8335367,1297.45,8.76,5.6,8.77,3.6,1593.27,981.95,86939444.95,142454501.07,9123.55,10615.22,170.07,163.19,13.21,12.84,0.61546,0.80471,83900,85600,85100,89000,88500,86500,74600,68600,73300,71400,72000,72400,68300
A000080,하이트진로,12,20091019,0.543664,0.593621,21121.23,21677.05,14090.72,3435692574.15,3464862523,56.74,20.75,1.46,1.06,10.41,1674527255,730201532,138223990,1035.36,2.81,2.92,7.31,6.07,2344.54,1047.83,605143947.75,620134025,34356.93,34648.63,67.44,55.13,40.75,42.84,0.55039,0.57378,30200,27500,25150,27350,26050,25350,22050,21400,23500,23500,25000,21600,21950
A000100,유한양행,12,19621101,0.356898,0.371353,19293.9,20520.68,11882.17,1261112831.88,1344865198.86,11.81,24.47,1.55,2.55,14.78,762793053.75,237276642.21,30404631.74,807.76,7.33,5.95,7.01,7.75,723.78,723.79,50187039.8,41538535.46,12611.13,13448.65,435.83,402.12,37.25,31.63,0.52867,0.57152,164295,193207,179898,179898,171637,172555,171637,178980,181275,166589,166589,162000,166130
A000120,CJ대한통운,12,19560702,0.741484,0.732736,22926.41,21762.98,23280.63,2930159621.86,2970388010.51,,27.68,0.76,0.87,13.32,2492867467.15,198263282.98,103260662.24,695.72,2.26,1.92,3.03,6.52,1111.99,1169.39,298260220.59,230155771.75,29301.6,29703.88,137.68,112.86,9.09,9.81,0.72259,0.72336,98200,98300,101000,96200,92300,91800,100000,107000,120000,113000,109000,113500,120500
A000140,하이트진로홀딩스,12,19730919,1.549242,1.533417,3805.91,3028.48,13500.13,1815175627.18,1780971764.32,23.54,22.94,0.51,0.19,7.39,54868892.33,54868892.33,52366652,633.12,0.87,1.38,4.67,4.3,2558.82,488.21,552016271.13,399754720.86,18151.76,17809.72,50.5,42.69,43.61,43.11,0.44312,0.45459,13050,12950,11700,12500,11550,11800,11600,11500,12900,14300,13050,12850,11250
A000150,두산,12,19730629,1.382569,1.34069,26907.88,26831.21,70778.9,3177644298.9,3149139071.47,269.84,37.38,1.01,0.15,13,1487630504.19,383610145.08,126287546,2015.08,1.83,1.07,3.81,-7.62,2998.78,-792.49,646914418.95,727258967.92,31776.44,31491.39,115.34,104.03,24.75,16.82,0.2019,1.28844,127000,142500,138500,151000,142000,136000,139500,136500,138000,138500,133000,127500,125000
A000180,성창기업지주,12,19760602,0.912529,1.090315,1074,1299.41,2573.68,85888946.35,87598360.99,,0.82,0.4,0.67,0.78,9811033.39,9811033.39,3090884.69,1306.66,5.08,41.06,67.49,-0.89,119.65,-98.66,2497111.32,681842.86,858.89,875.98,61.47,201.86,21.28,15.69,0.5397,0.5067,2207,2099,1868,1883,1740,1750,1637,1725,2005,2192,2010,2197,2099
A000210,대림산업,12,19760202,1.691711,1.862477,30276,30206.4,49185.44,9545399353,10165866335.32,210,8.59,0.7,0.33,4.85,9041849749.49,937333301.61,466383264.15,4007.88,3.68,3.68,8.39,12.08,5012.03,8168.88,1058314124,1124451241.33,95453.99,101658.66,153.96,152.6,11.64,10.08,0.77434,0.94192,86300,89000,87500,97000,98400,100500,94100,82800,88100,86700,84100,80600,84300
A000220,유유제약,12,19751118,0.957044,1.033422,423.36,407.62,695.01,85913909.88,85197349.56,12.98,16.99,0.6,0.82,8.37,56155164.71,33968144.29,3379529.62,29.86,,3.37,4.37,4.05,66.74,65.1,4479315.43,5553334.8,859.14,851.97,201.31,253.4,56.52,57.04,,0.69965,7210,8060,7200,7100,6950,6680,6550,7060,6810,7050,7140,7220,7140
A000230,일동홀딩스,12,19750628,0.889541,0.938923,2983.1,2569.48,3244.16,488661360.55,522808624.23,,17.39,0.88,0.81,11.26,346029750.77,186134015.85,12893075.82,171.07,5.21,3.25,5.39,2.95,507.78,184.78,69648729.8,76806079.73,4886.61,5228.09,184.2,166.34,57.23,52.65,0.66828,0.6888,10137,9990,9744,10187,11663,11318,9941,15649,13533,13139,13188,13631,13877
