Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000210,대림산업,12,19760202,1.133716,1.136701,6628.35,2826.65,14988.13,3805396613,3990706458,240.07,3.13,0.46,0.17,2.04,3362970576,467081949,283604199,1872.74,1.94,4.8,15.61,14.1,1611.93,2214.27,1222588593,943435517,38053.97,39907.06,116.96,137.85,11.04,13.89,0.75009,0.86273,5310,5550,6020,4885,3980,4920,4750,6680,5910,5470,6700,9110,10300
A000220,유유제약,12,19751118,0.776495,0.693527,65.75,71.75,305.54,30284589,46347752,11.33,9.55,0.36,0.49,5.3,23002441,12335019,1836863,11.82,2.94,3.09,5.52,3.66,21.33,22.46,7370799,5511107,302.85,463.48,177.67,182.74,56.56,53.63,0.7152,0.60033,1481,1386,1470,2238,1643,3321,7727,7376,5875,4880,5360,6520,5080
A000230,일동홀딩스,12,19750628,1.977232,1.463347,228.17,168.79,580.49,136226701,175184705,,4.11,0.4,0.24,5.79,88575189,48040521,15586438,52.35,-28.49,3.36,15.49,12.05,-2.36,96.72,56941758,88143474,1362.27,1751.85,116.48,274.79,59.47,54.24,0.45757,0.56886,826,781,882,903,765,784,771,1012,1033,888,888,1033,993
A000240,한국타이어월드와이드,12,19681227,1.440499,1.17606,4631.02,3368.78,7893.83,1775366888,1894669924,,10.89,0.58,0.35,4.15,1277250427,394710945,126676731,408.99,1.26,2.23,5.58,5.97,1649.56,1423.89,455114646,417123674,17753.67,18946.7,77.97,78.71,28.48,30.9,0.81048,0.69604,2238,2590,2694,2209,2129,1981,1679,2010,2159,2382,2516,3021,2704
A000270,기아차,12,19730721,0.310962,0.362847,31911.27,28765.09,30972.13,4993190379,7681295368,,15.07,1.03,0.26,4.63,7930638422,1187880435,48846984,1357.45,-52.07,2.14,40.75,-12.58,4723.51,-4299.72,1885487818,2212633952,49931.9,76812.95,38.65,100.15,7.62,14.98,0.64687,1.25143,6400,7200,6750,6100,6100,7500,7100,7500,7900,7300,7820,10150,10900
A000280,동아건설산업,12,19731108,0.705235,0.859882,1310.9,677.41,2705.91,6564595683,4785472923,,0.76,0.49,0.05,5.15,2205740473,282224730,123892188,1423.85,-10.22,2.51,34.55,-6.47,-7685.73,-423.02,4249278365,3632287357,65645.96,47854.73,253.06,418.5,7.54,12.8,0.40575,0.38867,1880,1645,1605,1255,1070,310,2150,890,820,820,820,95,
A000300,대유플러스,12,19750609,0.99401,1.12678,72.9,33.48,-61.29,,93655552,,-0.84,-1.2,0.11,3.54,63955558,-561376,-4005651,-87.29,,,,,,28.93,,76798987,,936.56,,93.94,,-0.88,,,4212,4144,5605,4093,3261,4025,3363,3601,3703,3550,3397,5605,5979
A000310,해태제과,6,19720501,0.976664,1.093412,102.58,17562.96,-5412.05,1770957818,1200662319,5.25,-0.02,-0.02,0.01,-4.07,802167259,197075585,5509236,-5541.99,-10.1,-37.3,209.87,1,1006.19,185.55,174126365,74840242,17709.58,12006.62,49.5,36.29,26.56,24.57,0.53735,0.53988,10800,7100,6500,6200,4100,3610,2400,1170,645,460,320,565,375
A000320,노루홀딩스,12,19730810,0.935533,0.974534,436.44,346.57,1794.5,325035058,324020423,2.54,4.78,0.27,0.23,3.7,194418051,40816830,18261127,94.76,0.86,2.92,5.72,6.93,122.01,30.31,83701244,31255962,3250.35,3240.2,105.77,77.99,21.57,20.99,0.63243,0.59908,1260,1078,1087,1216,1216,1158,1309,1766,2459,2965,2583,2441,2645
A000360,삼환기업,12,19730903,1.352543,1.156425,625.56,384.32,3469.73,879840425,802119804,72.51,20.09,0.18,0.15,12.09,471743494,44006890,18571481,35.01,0.29,0.42,1.03,4.35,336.08,31.42,170795485,172162008,8798.4,8021.2,143.71,161.97,11.53,9.33,0.59305,0.56094,4340,3792,3819,3866,2764,2904,3245,4126,3545,3024,3378,4206,5034
A000370,한화손해보험,12,19750630,0.909854,0.854023,416.32,255.45,750.78,962599915,1005904839,,-1.25,0.38,0.03,7.35,848699442,,-10059881,-226.18,0.44,-2.3,-26.59,,797.06,656.17,,,9626,10059.05,,,0,0,1.03173,0.86228,9530,9518,10934,12351,10313,8201,9443,11406,10760,10437,9319,9070,10487
A000380,대아건설,12,19960701,0.209723,0.1562,471.46,238.76,1157.68,291545763,391653553,,4.29,0.4,0.15,5.96,262626750,37403646,26441237,94.77,1.33,2.77,10.53,10.55,-276.01,-213.47,53954314,139226450,2915.46,3916.54,147.84,251.95,13.75,14.24,0.90091,0.76881,2705,3087,3871,3126,2744,2558,2313,3058,3920,5125,7370,6664,5635
A000390,삼화페인트,12,19930910,0.847369,0.852992,576.2,782.88,869.29,113812984,136743687,,12.03,0.66,0.46,4.99,124195666,26175305,8697299,47.88,4.02,3.82,6.23,5.85,33.95,33.53,9790141,2718939,1138.13,1367.44,181.7,167.83,21.55,21.08,0.82946,0.99136,3495,3105,3180,2900,2455,2300,2170,2620,2550,2600,2355,2685,2700
A000400,롯데손해보험,12,19710416,0.918063,0.940497,324.24,233.11,754.83,755352327,752541322,,-0.07,0.01,0,15.16,734888372,,-8403458,-107.06,0.46,-1.42,-11.32,,-178.51,-8.87,,,7553.52,7525.41,,,0,0,1.09617,0.97472,10217,9475,9388,9604,9356,6740,7214,8850,5468,4463,4247,4679,4310
A000420,로케트전기,12,19880805,0.624188,0.657275,221.47,341.86,427.83,179510909,161340618,42.55,19.01,0.6,0.28,4.35,93597991,7781442,581940,13.55,-16.62,0.8,3.2,1.2,-81.55,-20.74,79907832,78129425,1795.11,1613.41,162.63,204.56,6.33,8.31,0.60737,0.5492,3522,2877,3013,3140,2716,2432,1914,2818,2652,2181,2126,2185,2079
A000430,대원강업,12,19770622,1.325841,1.223063,279,243,1058.61,225031204,251845259,,23.27,0.25,0.11,3.53,254808637,16214811,1837816,11.99,-7.49,0.5,1.32,-8.28,-8,33.97,68875703,35552391,2250.31,2518.45,78.55,67.17,2.78,6.36,0.80681,1.06866,392,378,381,341,307,299,284,305,324,302,348,373,390
A000440,중앙에너비스,12,19960701,-0.82207,-0.021926,52.56,529.98,53.9,22095817,27241471,,1.57,0.66,0.05,2.21,79143781,7380089,795016,22.76,1.62,9.23,53.22,11.65,14.24,17.6,5391528,4912727,220.96,272.41,37.73,24.79,5.96,9.33,4.99109,3.20827,41738,37943,47084,29408,23921,26383,18820,25081,24483,22513,22338,22689,20262
A000470,그린손해보험,3,19750630,0.791038,0.828059,238.3,249.13,288.59,452614054,473328743,18.69,,1.41,0.07,-109.13,547772091,,-3350427,0,0,0,0,,580.58,-376.07,,,4526.14,4733.29,,,0,0,1.33157,1.18317,119693,107724,91591,70879,66091,43068,24136,40723,31286,28083,26653,28540,25051
