Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000020,동화약품,12,19760324,0.650678,0.659892,2273.62,2821.08,2301.18,313073099.66,317187030.05,,40.54,0.98,1.02,10.37,223201285.43,96579379.29,4812973.67,56.09,1.57,1.78,2.44,1.58,135.15,198.33,14432182.55,18088059.77,3130.73,3171.87,174.92,195.73,44.6,43.27,0.67851,0.70828,9960,9920,8830,8980,7780,7720,8120,8210,8900,9090,9200,8990,8470
A000030,우리은행,12,20141119,1.583676,1.513684,59623.2,64355.2,193099.15,256071301000,276576908000,,5.63,0.31,0.29,23.18,18017734000,13407866000,1090372000,10753.92,0.4,0.38,5.75,,2812.44,-3839.06,,,2560713.01,2765769.08,,,22.06,22.08,0.05723,0.07256,9610,10100,10600,11400,12500,12000,12750,13100,13300,13000,14950,15300,18450
A000040,KR모터스,12,19760525,0.447118,0.445454,2226.41,2005.32,677.46,136684599,157780959,,-11.86,3.13,2.44,-25.79,80853364,1505683,-15333664,-165.96,-10.03,-11.28,-29.24,-12.97,-328.33,-194.78,20971541,14530552,1366.85,1577.81,95.64,108.1,1.5,2.52,0.62847,0.54794,1716,1738,1656,1588,1394,1289,1293,1176,1179,1176,1064,1334,1359
A000050,경방,12,19560303,0.752718,0.732569,5277.44,4742.84,6629.53,1275008413.07,1259512344.39,,31.61,0.8,1.48,14.49,307744479.87,98277119.98,38629926.18,166.92,0.88,1.27,2.55,7.12,238.19,399.21,234781208.81,443825602.19,12750.08,12595.12,24.73,58.13,27.56,28.45,0.25322,0.27295,16750,17200,17100,19300,18100,17600,15300,14350,14200,14850,14700,16350,15600
A000060,메리츠화재,12,19560702,0.491664,0.477099,17113.02,16219.69,14811.26,12981490906.49,14603849437.84,,10.16,1.15,0.25,5.44,6748219021.99,,227884884.91,1690.22,0.95,1.21,11.76,,817.23,9596.39,,,129814.91,146038.49,,,0,0,0.50148,0.4873,14900,15350,15550,15400,15950,16500,15300,15050,15400,16000,17700,18800,20050
A000070,삼양홀딩스,12,19681227,0.561807,0.684011,13617.19,12546.66,17963.63,1309722668.19,1537284619.08,15.2,30.33,0.92,0.65,9.08,97812612.58,79544821.59,45155192,780.16,0.78,2.66,4.52,4.32,1280.59,898.78,197663878.53,203447163.48,13097.23,15372.85,165.67,179.41,15.77,18.73,0.82113,0.73957,145500,120500,120000,135500,125000,122500,119500,102500,112500,123500,126500,133500,122500
A000080,하이트진로,12,20091019,0.287508,0.376466,16411.26,16726.87,13246,3304646402.54,3336555972.7,56.74,31.31,1.23,0.87,10.74,1663246296.99,731886675.85,123757133.95,533.6,0.61,1.55,4.02,4.8,2472.58,3040.46,701238597.96,616896523.22,33046.46,33365.56,55.9,59.33,41.87,43.01,0.53683,0.55427,23800,22500,21900,22550,22000,21750,21100,20800,21100,20350,20900,24200,23300
A000100,유한양행,12,19621101,0.633888,0.638201,30390.69,34126.79,13639.4,1455736896.33,1584414837.79,11.81,24.7,2.08,2.76,14.42,1120937093.63,319573336.67,70693047.4,1260.47,5.81,7.21,9.55,12.64,943.86,1262.35,45935578.02,58404647.99,14557.37,15844.15,329.72,269.01,31,30.18,0.65017,0.64567,280861,280861,264799,254703,192748,180816,191169,180629,214646,213209,222312,239560,235727
A000120,CJ대한통운,12,19560702,0.833388,0.887117,43571.58,49502.79,23717.05,3712040088.83,3735984486.28,,94.84,1.45,0.86,22.02,4358425407.8,396493360.16,117818774.84,489.84,1.3,1.08,2.11,4.6,2598.04,1718.74,971138983.6,476247048.99,37120.4,37359.84,145.35,96.4,10.5,10.86,0.99657,1.11812,218000,200500,201000,215500,201000,184000,179000,163000,172500,166500,166500,192500,180500
A000140,하이트진로홀딩스,12,19730919,1.102679,1.208379,3156.12,3109.71,11114.61,1777288624.81,1779992358.86,23.54,17.54,0.6,0.17,8.13,43572042.21,43572042.21,40909394,447.19,-2.44,1.11,4.06,4,2197.77,2830.09,334365647.6,324716060.03,17772.89,17799.92,41.95,45.55,42.16,43.06,0.45645,0.47661,13650,13650,12650,12450,11950,12200,12450,10950,11700,11450,11100,11800,11550
