Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000020,동화약품,12,19760324,1.013816,0.932761,1726.16,2765.22,2053.63,220422961,311472628,,7.92,1.1,1.2,5.44,188607515,105181662,39963969,285.19,10.28,10.72,14.83,13,236.55,311.55,8360598,25682734,2204.23,3114.73,414.24,158.5,55.66,55.77,0.83715,0.70919,9900,8540,8550,7080,7080,6700,7580,5800,5980,6000,5980,5400,5320
A000040,KR모터스,12,19760525,1.51965,1.42994,326.25,525.31,715.35,102258423,134153456,,-4.27,0.43,0.27,-29.3,114734453,15822041,808770,-72.82,12.21,-6.16,-11.89,8.68,-72.96,-20.67,11765507,18340100,1022.58,1341.53,148.55,142.01,12.64,13.79,1.31862,0.97063,704,772,697,629,667,614,839,854,1154,1296,1521,1296,1184
A000050,경방,12,19560303,1.235239,1.21517,1268.8,3151.2,4073.98,561331864,783294183,,-8.52,0.31,0.82,-22.84,154821729,9430539,1092133,-149.31,10.48,-2.22,-3.61,0.16,-355.11,-119.97,40582898,102991995,5613.32,7832.94,85.7,40.84,0.97,6.09,0.26367,0.23028,11860,12392,10719,11023,10491,8819,9769,8933,8515,9275,8781,7944,8515
A000060,메리츠화재,12,19560702,1.633857,1.656517,4481.56,7799.4,4256.43,4564535014,5265466689,,-7.29,0.87,0.12,-4.18,3541826739,,-78838071,-588.15,1.71,-1.2,-13.34,,-1791.1,1707.7,,,45645.35,52654.67,,,0,0,0.74112,0.72061,5905,5905,6987,7157,7515,6388,6120,6612,6710,6576,6478,6844,6970
A000070,삼양홀딩스,12,19681227,0.823308,0.811955,3095.59,4287.74,6942.96,1125630001,1098706965,19.36,-6.43,0.44,0.28,-14.42,1308485598,182487216,25946332,-560.27,0.55,-5.04,-7.65,-1.88,481.79,-438.34,75530938,100589980,11256.3,10987.07,96.79,122.92,17.58,13.95,1.0154,1.17652,47372,49276,45244,47652,43116,43060,49948,44460,43452,45412,45692,53083,63498
A000100,유한양행,12,19621101,0.680482,0.630985,21163.73,18926.33,8629.41,972624834,1021065354,11.81,18.2,2.61,3.84,13.79,595720037,272020014,69122006,1256.83,9.73,12.61,15.53,15.33,830.24,1157.79,46798151,38181139,9726.25,10210.65,198.14,337.08,47.22,45.66,0.51004,0.59761,153366,163423,162165,159651,160070,147918,156034,149021,142885,151213,140255,128421,134119
A000120,CJ대한통운,12,19560702,0.692643,0.636719,35757.28,18614.87,47800.95,1394848876,5832933356,,11.66,0.36,0.88,7.58,1828322534,173806154,70571648,1377.4,5.53,3.81,5.04,4.22,437.23,-313.86,453798659,275804542,13948.49,58329.33,121.78,482.02,10.87,9.51,0.92153,0.50592,83000,74900,69900,69300,65300,52200,56700,53800,56100,66100,62400,55500,61000
A000140,하이트진로홀딩스,12,19730919,1.14922,1.134546,1939.8,3719.92,6958.73,2766796987,1064355773,23.54,2.67,0.25,6.36,7.15,44201412,44013157,41040187,1054.09,5.03,5.5,10.45,352.85,2513.94,-394.75,350500136,188135975,27667.97,10643.56,44.62,1.03,54.78,99.57,0.35394,0.02307,32100,38500,40000,34850,31100,26750,28900,22650,20400,23200,24850,20950,21600
A000150,두산,12,19730629,1.905956,1.781447,23867.14,22094.6,15656.08,2205573653,2791040982,288.49,26.38,1.41,1.93,-86.85,1501193031,477201818,35462152,1097.36,1.48,4.39,9.7,18.36,1813.94,1155.64,658693439,459582613,22055.74,27910.41,70.61,73.36,32.57,31.79,0.79895,0.60088,89387,87906,82276,87906,82770,69238,94227,101240,106672,126920,120994,94523,110129
A000180,성창기업지주,12,19760602,1.205512,1.337438,1158,1068,699.63,253090576,70623444,,-4.03,1.6,0.63,-6.91,184913987,-168517041,-194442704,-288.19,-2.03,-17.81,-34.07,-1224.43,62.89,-234.19,73190028,,2530.91,706.23,75.65,109.82,9.03,-91.13,0.16161,1.14245,1770,1996,2345,2015,1951,1883,1991,1770,1897,1961,1927,1617,1691
A000210,대림산업,12,19760202,1.872959,2.004599,15486,21506.4,31906.28,5642880869,7136953581,210,16.93,0.54,0.29,11.85,5892211808,755148253,389317184,1014.88,9.03,1.59,3.31,8,-894.47,-756.83,900356603,1616288249,56428.81,71369.54,178.88,183.81,15.6,12.82,0.97015,0.92211,63800,68000,72100,72300,77300,82400,83200,76700,71300,75000,63800,57300,63700
A000220,유유제약,12,19751118,1.130133,1.213577,390.71,339.97,645.92,126872977,105661751,12.98,-8.46,0.66,1.07,-62.19,45014225,26937344,-5733805,-56.87,10.94,-4.89,-8.3,-7.97,32.64,130.74,23281744,13880457,1268.73,1056.62,211.66,192.22,64.37,59.84,0.59551,0.38716,5800,6210,6300,6000,6000,6130,5870,5590,5710,6200,6130,6750,6620
A000230,일동홀딩스,12,19750628,1.236178,1.203636,1263.43,1674.55,1907.58,278322664,325162537,,9.01,0.87,0.57,5.15,300420290,181969424,34057868,191.23,8.67,6.34,10.43,8.01,101.23,175.27,24595300,37117343,2783.23,3251.63,206.72,195.42,62.69,60.57,1.03557,0.99562,6397,5886,6063,6122,6260,5630,6309,6151,6033,6279,6181,5856,6742
A000240,한국타이어월드와이드,12,19681227,0.780348,0.79665,23285.06,25339.62,17368.66,2358979235,2674247572,,90.75,1.27,0.87,10.84,2644236452,748222573,256382687,254.12,7.17,1.01,1.49,5.05,4605.58,2197.86,182119385,161409475,23589.79,26742.48,139.73,129.08,31.32,28.3,0.99586,1.05071,17480,19511,21987,23225,22680,22878,25255,22086,22977,21244,24710,25601,27681
A000250,삼천당제약,12,20001004,1.330656,1.226354,370,458,717.45,84220427,85702299,,6.06,0.5,0.61,2.38,60644557,40336230,7526807,61.1,7.27,7.19,8.74,7.99,74.9,37.03,2404373,2051644,842.2,857.02,386.62,476.17,67.08,66.51,0.68172,0.71379,2360,2600,2870,2450,2455,2320,2390,2300,2310,2345,2380,2140,2135
A000270,기아차,12,19730721,1.160331,1.111526,22743.59,46431.54,57412.82,12853763000,15452278000,,19.99,0.4,0.14,7.06,16382231000,3364177000,308533000,1137.84,0.11,0.8,2.1,8.57,282.4,6971.81,3582134000,4516632000,128537.63,154522.78,77.16,68.12,14.79,20.54,1.27791,1.15751,12450,15350,16900,18600,18000,17150,20050,19550,21750,25250,27400,31300,32700
A000300,대유플러스,12,19750609,0.965776,1.045618,516.98,1321.45,419.6,102404765,109303487,,246.51,1.24,0.37,9,137471014,9983798,1417148,2.05,1.9,0.19,0.56,2.01,-56.31,-37.9,23340226,14217956,1024.05,1093.03,70.19,66.5,7.73,7.26,1.45068,1.29868,2673,2159,1972,2347,1936,1584,2146,1807,2066,2008,2035,1642,1892
A000320,노루홀딩스,12,19730810,0.778628,0.758425,645.41,686.33,1712.76,198897037,254647462,1.39,49.12,0.3,3.18,30.88,20747804,15025116,1984724,13.42,2.28,0.59,0.87,-45.94,-58.48,-16.02,39791088,33668352,1988.97,2546.47,41.89,32.67,84.23,72.42,0.11753,0.09149,5200,5720,5770,5930,5900,5500,5900,5100,5100,5230,5490,4965,4950
A000360,삼환기업,12,19730903,1.524419,1.561053,994.51,1501.81,6229.83,1043055628,1382209621,72.51,10.8,0.16,0.14,5.86,800595519,64806331,20688051,103.5,4.34,0.85,1.83,7.75,-394.52,76.79,231189365,245699853,10430.56,13822.1,171.81,134.2,12.63,8.1,0.93879,0.66021,16958,16157,15289,15222,16090,14154,14221,12818,12284,13286,13353,11323,11136
A000370,한화손해보험,12,19750630,2.113046,2.096319,1941.4,2941.05,1929.24,1496569188,1719889801,,5.22,1.19,0.17,2.64,1370872589,,-9745383,439.88,2.86,2.74,25.57,,205.95,-1194.54,,,14965.69,17198.9,,,0,0,0.83514,0.85241,9596,10584,10725,10631,9502,8956,11854,10349,10349,10160,9304,8890,10207
A000390,삼화페인트,12,19930910,0.360135,0.345992,654.08,790.72,1207.78,227180130,246862932,,6.15,0.49,0.2,5.56,325745164,55911368,16070779,106.34,2.23,4.49,9.11,7.09,21.26,14.03,42587360,26203472,2271.8,2468.63,213.58,168.79,18.08,17.16,1.32655,1.37433,3525,3620,3810,3800,4050,4170,4500,4350,4400,4460,4650,4500,4730
A000400,롯데손해보험,12,19710416,1.858465,1.598956,2872.01,3502.76,1958.58,1210253024,1620932755,,-46.45,1.56,0.25,-24.98,1271954288,,-11323772,-68.44,0.19,-0.48,-4.38,,910.78,-768.06,,,12102.53,16209.33,,,0,0,0.86588,0.89853,6616,6939,6785,6539,6231,5708,6054,5885,5908,5839,5693,5539,5662
A000420,로케트전기,12,19880805,2.597865,2.062091,90.32,367.85,114.83,63277536,69058451,5.32,-1.68,0.83,0.19,-53.31,49741256,7739812,864751,-56.79,-6.22,-8.58,-41.72,1.95,-67.38,13.85,9752053,15450908,632.78,690.58,68.96,73.21,13.51,15.56,0.74201,0.75174,1461,1278,1540,1370,1135,1065,1140,1135,1155,1120,1180,1050,1095
A000430,대원강업,12,19770622,0.87811,0.871076,1050,942,2732.99,323334060,499151147,,17.76,0.35,0.22,7.51,473903638,34015196,-4123398,59.11,2.88,1.44,2.66,8.55,441.85,29.23,31615313,74610568,3233.34,4991.51,62.67,61.02,7.68,7.18,1.39925,1.15237,1534,1699,1800,1645,1568,1786,1975,1855,1870,2360,2690,2615,2755
A000440,중앙에너비스,12,19960701,0.701547,0.755345,148.21,177.47,402.1,55249434,55234806,,58.37,0.47,0.22,16.25,99816177,11962357,2142537,3.76,2.36,0.68,0.93,1.7,-19.9,14.36,3959610,3193711,552.49,552.35,83.25,68.97,13.3,11.98,1.63004,1.80689,14425,14100,13850,13725,13250,13375,12725,12250,12350,17975,16975,16850,14550
A000470,그린손해보험,3,19750630,2.140755,2.016817,912.1,1144.06,650.51,1029074448,1164052816,,-1.96,1.58,0.09,6.24,966950828,,-53146862,-420.49,2.44,-3.84,-51.36,,3863.2,221.31,,,10290.74,11640.53,,,0,0,1.07638,0.8818,5320,6000,5480,5100,4640,4560,5020,4500,4405,4990,4585,4345,4150
A000480,조선내화,12,19780630,0.803406,0.849689,3080,2096,3477.44,611837305,552351679,,34.23,0.71,0.9,16.85,344097344,37204783,8653720,89.99,3.88,1.55,2.34,-17.83,95.36,-20.73,67102426,39868955,6118.37,5523.52,99.19,97.94,13.83,10.81,0.62436,0.59114,54400,55500,61200,63500,63400,58100,61800,54800,54500,59500,56700,51700,54200
A000490,대동공업,12,19750627,1.03528,1.025745,704.73,1179.29,1374.14,299814173,323348859,,-5.2,0.45,0.16,14.82,442575771,90002617,9061607,-135.56,-1.56,-4.35,-9.48,3.17,269.08,0.63,57727995,52176260,2998.14,3233.49,147.83,121.54,20.69,20.34,1.28092,1.42042,5300,5200,4980,4450,4580,4250,4380,4310,4680,4780,5740,4455,4045
A000500,가온전선,12,19870608,1.216175,1.217478,713.7,1259.7,1853.84,317142141,345915894,,5.75,0.36,0.09,4.84,805836894,42838118,21769259,124.32,5.63,3.75,6.84,5.77,-137.16,171.08,44286532,24431511,3171.42,3459.16,204.12,164.91,6.48,5.32,2.41837,2.43067,29497,29122,29028,27713,29685,28652,31137,27798,28289,28485,29418,28583,26914
A000520,삼일제약,12,19850529,0.593219,0.625708,334.4,371.25,636.07,95614588,122626825,,19.02,0.52,0.26,5.57,125514432,55742568,7220633,17.48,5.89,1.6,2.71,1.74,66.61,-66.12,3142288,20370549,956.15,1226.27,179.68,149.7,46.47,44.41,1.11475,1.15023,6599,6121,6332,6322,6140,5901,5825,5499,5920,5911,5892,5442,5346
A000540,흥국화재,12,19741205,1.267959,1.330933,2953.89,2604.39,1368.89,1175746000,1726426000,46.08,-14.62,2.03,0.15,-21.38,1735546000,,-21864000,-176.64,-6.86,-1.22,-23.61,,-67.38,62.27,,,11757.46,17264.26,,,0,0,1.11253,1.19603,5500,5060,5230,5240,5900,6310,6500,6200,6050,7100,5760,5950,6890
A000590,CS홀딩스,12,19751222,0.602375,0.641337,256.2,366,775.75,81972546,96234788,,2.42,0.37,0.24,1.16,119281575,22540494,13393070,119.99,5.06,13.47,16.59,13.55,55.77,38.13,1859165,1442635,819.73,962.35,253.19,286.03,14.94,18.9,1.20853,1.33868,68937,65762,74946,81068,75626,75399,77100,59900,54300,230500,89700,89400,80400
A000610,제일화재,3,19760605,2.099506,2.006418,1472.59,2034.85,1149.09,1617335319,1800356250,,9.21,1.29,0.1,4.64,1407796844,,22146284,160.55,0.17,0.94,15.54,,347.71,451.89,,,16173.35,18003.56,,,0,0,0.86743,0.82383,7600,7450,7700,7990,6900,6700,7400,,,,,,
A000640,동아쏘시오홀딩스,12,19700210,0.80242,0.729968,9689.09,9075.81,3502.11,670969164,731614687,,25.62,3.13,1.58,11.72,702315777,443129876,81707640,433.75,-0.49,6.19,12.79,10.95,418.16,532.49,126834087,132270612,6709.69,7316.15,131.52,117.49,60.74,63.1,1.0052,1.00146,97489,101569,101459,108296,127375,124067,144044,130032,122186,129472,122186,127790,137879
A000650,천일고속,12,19770623,1.265763,1.162604,561.68,837.52,272.86,38209080,40833622,,20.16,2.06,1.13,10.11,49847293,10089017,346144,27.86,7.73,7.05,10.72,1.79,49.05,52.66,4090730,5566759,382.09,408.34,127.69,211.84,23.36,20.24,1.26752,1.26127,67300,60600,51600,45700,41000,37050,38100,36600,37350,47200,43100,39000,40050
A000660,SK하이닉스,12,19961226,1.546645,1.57624,30793.39,80483.27,50902.02,14866812157,13199340191,,-0.65,0.6,0.47,-2.87,6495367052,-986787847,-2202187020,-47196.33,2.31,-33.63,-66.82,-35.29,27658.39,-8724.35,3037317313,3978515984,148668.12,131993.4,126.98,40.66,15.35,-15.19,0.592,0.46286,13800,17600,21950,19800,18050,18450,23150,22750,21000,26700,28400,25150,25050
A000670,영풍,12,19760612,1.286984,1.348969,9725.97,8445.75,9376.42,1276075609,1306747186,,6.89,0.97,1.3,4.72,750085073,82081040,48818404,1411.91,12.79,10.93,15.76,2.77,1715.51,813.43,256978106,221832089,12760.76,13067.47,139.82,171.18,12.92,10.94,0.70058,0.58083,450500,482000,453500,552000,580000,540000,569000,488500,524000,640000,602000,498000,567000
A000680,LS네트웍스,12,19731115,1.336119,1.283105,3776.39,4919.55,4446.86,495913878,653949864,0.84,15.92,0.83,1.88,15.01,196542317,74555864,19138373,231.85,2.24,4.03,5.31,7.76,485.13,248.73,32917369,192233263,4959.14,6539.5,1024.16,1275.76,37.31,37.93,0.24667,0.34185,6119,6041,6236,6148,8033,7129,8256,8479,8538,8237,8460,6650,6450
A000700,유수홀딩스,12,19560303,1.472269,1.526093,15994.66,15729.56,32275.84,6005748179,8259984685,,2.41,0.21,0.08,4.29,9355789626,664321760,334393850,3203.77,2.44,4.49,11.01,5.44,1964.51,5251.31,2406518700,3601000244,60057.48,82599.85,155.35,120.3,7.35,7.1,1.16229,1.31164,4663,5365,5544,5250,4216,4407,3704,4137,4299,5529,5367,4407,5110
A000720,현대건설,12,19841222,1.326314,1.326967,63380.07,59304.42,28930.93,6671242803,8143809597,4.94,16.98,2.19,0.87,10.42,7271096818,747547168,480206136,3734.74,4.48,5.04,14.42,27.3,2049.96,7756.71,1122290310,878499637,66712.43,81438.1,123.56,120.8,10.3,10.28,0.9126,0.98158,57000,63300,60200,64000,66800,66300,70900,64400,59900,62100,54100,52000,56700
A000760,이화산업,12,19940429,0.90385,0.882139,117.6,164.36,299.11,78281693,72944157,,-12.39,0.39,0.21,18.84,54882812,8715067,196657,-9.42,0.13,-1.25,-3.11,0.32,-10.56,41.57,316301,449636,782.82,729.44,101.85,100.22,14.39,15.88,0.67317,0.72584,5880,5600,5070,5120,4890,5200,4695,4980,4695,6550,9450,7550,8620
A000800,경남기업,12,19730212,2.182762,2.268767,1259.16,1722.07,5146.04,1298295248,1800730700,,9.57,0.24,0.07,11.86,1762414008,153830502,65445505,131.59,3.37,0.85,2.77,9.5,515.35,93.65,230322807,290225895,12982.95,18007.31,161.97,136.33,9.5,8.73,1.18103,1.1374,11150,12450,16900,13100,11200,9930,9930,9450,9320,8650,7870,8160,7930
A000810,삼성화재,12,19750630,0.803642,0.827532,89301.57,89064.69,38629.71,20740545643,23092158818,16.71,13.51,1.93,0.68,7.95,11870731036,,803124563,5987.08,2.43,2.73,16.45,,7213.6,2469.79,,,207405.46,230921.59,,,0,0,0.56067,0.54164,196500,206000,224000,241000,217500,202000,199500,185500,184500,181500,206000,177500,195500
A000830,삼성물산,12,19751212,1.520003,1.51027,62018.45,67095.53,48954.13,9981420708,11274226970,232.43,18.5,1.22,0.54,14.42,11811591875,1159217987,364102295,3451.42,4.88,3.25,7.01,-1.74,1265.55,465.58,1509396694,1846826668,99814.21,112742.27,100.23,109.82,9.75,9.81,0.97442,1.11138,43350,46450,56000,54400,49200,45600,56100,57600,59100,60900,52900,50800,52100
A000850,화천기공,12,19991118,1.228421,1.159005,484,633.6,1069.79,126022131,147122135,,2.99,0.45,0.33,1.7,148789253,29263958,12054260,162.08,9.61,11.87,16.35,13.16,132.96,130.65,14938564,14060453,1260.22,1471.22,282.62,262.66,20.24,19.67,1.09471,1.08946,28600,29900,33200,33500,31000,31150,34100,35300,36200,38850,41650,40350,39700
