Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000020,동화약품,12,19760324,0.865041,0.819433,1047.43,1418.92,1557.26,195293494,192629355,,11.23,0.55,0.56,3.48,152821587,73907397,15642529,76.62,3.81,3.95,5,8.32,235.28,262.47,11961630,12398017,1952.93,1926.29,419.18,532.73,47.93,48.36,0.70836,0.7879,5080,5350,6320,5830,6110,5640,6460,5500,5600,5310,6400,11240,18600
A000040,KR모터스,12,19760525,0.550252,0.496992,967.7,869.9,427.13,81250312,98684038,,97.07,2.16,0.82,16.84,107785678,12873804,872150,9.14,-21.98,1.02,2.41,1.24,-80.52,-43.44,28190608,18097212,812.5,986.84,187.38,145.84,5.34,11.94,0.9488,1.19806,1266,1251,1349,1266,1184,1131,1094,967,1191,1319,1693,1671,1753
A000050,경방,12,19560303,0.321449,0.330865,3286.4,3296.8,3824.52,515345506,506283029,,426.23,0.86,2.01,15.34,163967992,15908453,3432211,7.73,-1.8,0.15,0.2,3.61,51.5,105.68,17344611,28312815,5153.46,5062.83,71.16,84.27,5.45,9.7,0.33125,0.32099,12050,10643,9807,9465,9427,10073,10339,11327,12012,11061,12050,11708,11480
A000060,메리츠화재,12,19560702,1.585191,1.530347,4530.24,4847.7,2303.56,2676077924,3110006760,,13.28,1.4,0.16,2.22,2210749303,,-1363973,264.17,0.84,0.91,11.56,,2387.3,2774.37,,,26760.78,31100.07,,,0,0,0.79461,0.76416,4373,3893,4373,4822,4567,5147,4915,4567,5341,5882,6138,7229,6989
A000070,삼양홀딩스,12,19681227,0.735726,0.73827,4449.34,5177.77,7769.81,973804019,1104429337,19.36,8.36,0.57,0.53,4.6,984375411,183271663,42938689,619.94,5.49,5.97,8.43,12.8,843.86,538.57,60878366,119147751,9738.04,11044.29,84.24,114.4,20.46,18.62,0.92188,0.94732,57977,52906,57205,64921,58748,68007,68558,61173,58858,64039,64810,77155,76714
A000100,유한양행,12,19621101,0.693204,0.66939,14779.9,12501.69,5927.96,746417156,878435330,11.81,25.28,2.67,4.07,15.72,391985535,200951135,61770807,630.85,7.53,7.77,11.35,8.06,273.1,248.67,95212024,96340748,7464.17,8784.35,229.91,184.95,43.6,51.27,0.48954,0.48249,105994,104173,108908,107087,115465,131127,135968,111525,114580,112670,116490,128712,132149
A000120,CJ대한통운,12,19560702,1.198047,1.186657,8791.8,10962.56,8301.25,1267194680,1324941236,,9.38,0.54,0.38,6.44,1171674646,128578239,58638293,477.84,1.47,3.69,5.94,4.82,852.92,980.95,325630138,310943871,12671.95,13249.41,206.66,204.14,11.27,10.97,0.87164,0.90402,35112,34603,37661,35418,39342,45763,47751,45865,43164,40973,42757,52490,50605
A000140,하이트진로홀딩스,12,19730919,0.720058,0.705042,27643.98,18218.15,9269.92,1851564645,2867191565,42.19,47.46,3.12,3.62,20.64,852602460,430381723,133518339,649.44,5.96,2.75,7.06,7.09,1817.67,1158.68,130290172,1075747325,18515.65,28671.92,52.27,44.62,50.66,50.48,0.46523,0.36137,101361,121228,116421,124966,119626,122830,127636,126034,108411,120160,140453,130306,128170
A000150,두산,12,19730629,1.70013,1.700114,8056.56,7246.14,6344.66,2674081845,2606988672,288.49,119.78,1.18,0.51,10.08,1864460113,593867688,104670387,79.56,-1.5,0.3,1.25,7.3,1044.15,1198.26,1056720146,1012884103,26740.82,26069.89,56.34,62.33,33.89,31.85,0.73173,0.70609,30026,33483,35656,40990,40891,51163,56200,52052,57089,76053,85436,131365,142230
A000180,성창기업지주,12,19760602,1.363686,1.430816,960,780,1118.56,241072203,239580118,,-21.91,0.86,0.58,40.61,165859825,18381578,-961636,-43.76,3.6,-1.82,-3.8,-0.45,69.41,23.26,67975732,53208709,2410.72,2395.8,85.66,58.72,19.37,11.08,0.74199,0.69014,1278,1209,1484,1475,1524,1588,1475,2251,2094,2880,2674,2772,2458
A000210,대림산업,12,19760202,0.995284,0.97459,25056,20740.8,22780.38,3509664802,3915677892,210,8.1,1.22,0.65,5.89,4256723691,587935662,320683615,3429.14,12.67,9.24,16.39,21.8,68.96,-408.88,584120041,459606733,35096.65,39156.78,152.23,164.2,13.39,13.81,1.2422,1.14654,59600,63500,61600,64500,72100,80400,76000,76600,80500,90100,109500,140000,137500
A000220,유유제약,12,19751118,0.94627,0.996701,886.38,693.94,567.73,88252762,112791979,12.98,12.12,1.85,1.78,7.63,64001638,44692905,13363961,94.13,6.93,9.36,17.78,10.3,67.66,115.02,29145911,28266400,882.53,1127.92,506.68,187.54,57.17,69.83,0.74991,0.63669,11900,12400,13850,15700,16100,18950,18800,19200,18300,19000,19700,21000,22150
A000230,일동홀딩스,12,19750628,0.835472,0.802648,1741.02,1433.32,1353.32,200671206,222734281,,8.57,1.22,0.75,4.78,227481755,139900973,35675337,199.31,4.69,9.42,15.79,13.05,166.13,165.08,20722734,25002825,2006.71,2227.34,175.42,210.24,60.24,61.5,1.01952,1.07453,5632,5357,6115,5280,5984,7194,6865,6306,6658,7657,8071,8641,8563
A000240,한국타이어월드와이드,12,19681227,1.026382,1.013388,21402.06,16969.18,13786.57,1889604879,1953541665,,9.92,1.5,1.06,5.21,2003599975,617701419,230702493,2137.75,8.85,11.13,16.63,13.51,3549.16,2911.31,97460239,112066951,18896.05,19535.42,75.24,89.4,32.8,30.83,0.98941,1.04269,11043,11092,12677,12330,13469,14955,15648,13667,15252,15450,16985,14806,16440
A000250,삼천당제약,12,20001004,1.037985,0.969712,700,532,643.86,70053417,80990220,,10.98,1.09,1.33,4.45,52571744,33862773,7984316,63.72,9.8,8.44,10.75,12.12,58.35,69.86,5497805,5000560,700.53,809.9,562.15,578.6,58.76,64.41,0.75035,0.69611,2660,2400,3170,2855,2790,2990,2845,2520,2410,2750,2500,2730,2785
A000270,기아차,12,19730721,1.239777,1.241393,92189.69,56424.95,52523.68,10685879000,11241785000,,13.54,1.75,0.58,7.7,15999356000,2266715000,74002000,6809.04,6.3,6.21,13.33,0.61,16218.55,4387.6,2101071000,2509982000,106858.79,112417.85,86.24,83.8,18.59,14.17,1.45109,1.45928,16250,14250,15300,15350,14250,14100,13450,11500,12150,12700,11100,11950,14400
A000300,대유플러스,12,19750609,0.326016,0.394398,140.94,212.6,65.68,36562882,36824186,,-5.01,2.16,0.18,33.22,78708188,1734410,-2545865,-28.32,-16.84,-7.72,-35.47,-10.35,10.24,-40.44,12876235,12669266,365.63,368.24,85.65,77.19,-3.18,2.2,1.66759,2.14501,862,790,1274,2459,2420,2327,2335,3049,4841,2819,2514,1928,2123
A000320,노루홀딩스,12,19730810,0.723933,0.711588,1716.54,632,2337.01,349664826,394874216,2.54,19.14,0.65,0.86,9.23,237126315,38997809,8046646,106.69,5.28,2.87,4.69,3.18,-50.94,84.29,61759667,87425448,3496.65,3948.74,190.47,174.21,14.78,16.45,0.63548,0.63697,5889,7350,6455,7081,6992,6932,6224,7156,6947,6619,7298,10808,10249
A000360,삼환기업,12,19730903,0.580076,0.591634,2376.88,2424.19,4395.65,714564253,810785711,72.51,5.57,0.54,0.4,2.35,661242019,111092910,81635365,479.38,4.47,6.29,11.38,24.01,244.4,991.66,135923121,146285871,7145.64,8107.86,186.22,188.68,12.26,16.8,0.84662,0.867,27373,29910,28775,28308,29376,33782,32046,29977,27440,31512,32914,47936,43396
