Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000020,동화약품,12,19760324,1.01392,0.872256,1804.37,5195.25,1609.98,192629355,197948382,,18.39,0.92,1,6.72,148738623,72693781,14171262,80.65,3.95,4.13,5.09,6.32,262.47,231.86,12398017,10897247,1926.29,1979.48,532.73,509.94,48.36,48.87,0.7879,0.76163,18600,16600,14500,15340,14000,12180,10720,10000,10400,11260,13060,12080,10920
A000040,KR모터스,12,19760525,0.953098,0.869046,751.51,1293.93,340.77,98684038,100927482,,-8.19,2.1,0.63,-66.33,113905040,11345561,-7541582,-87.42,1.02,-8.76,-22.77,-10.16,-43.44,-30.66,18097212,20375292,986.84,1009.27,145.84,117.5,11.94,9.96,1.19806,1.14127,1753,2577,2218,1948,1521,1259,1439,1191,1244,1139,1079,922,1019
A000050,경방,12,19560303,0.241275,0.248445,2828.8,3140.8,3606.93,506283029,593111516,,-13.06,0.78,1.81,-25.07,156260079,10634275,-2401795,-216.96,0.15,-3.95,-5.84,-1.53,105.68,53.91,28312815,31947823,5062.83,5931.12,84.27,60.93,9.7,6.81,0.32099,0.28427,11480,18094,20906,18398,16725,14558,14825,12088,11403,11175,10339,11403,10833
A000060,메리츠화재,12,19560702,1.34059,1.333678,5448.3,7747.74,2600.88,3110006760,3747770348,,16.3,2.1,0.23,5.86,2547187177,,10887995,357.93,0.91,1.04,14.6,,2774.37,4443.3,,,31100.07,37477.7,,,0,0,0.76416,0.74286,6989,9036,8356,8938,11631,10289,11407,8383,8500,8061,7793,9349,9036
A000070,삼양홀딩스,12,19681227,0.8432,0.828518,6122.76,6851.19,7785.18,1104429337,1130549007,19.36,30.44,0.78,0.61,9.06,1170019865,184178345,45385944,234.36,5.97,2.1,3.01,2.48,538.57,389.38,119147751,107565893,11044.29,11305.49,114.4,109.01,18.62,15.74,0.94732,1.04701,76714,82446,80572,74179,70322,61504,63946,53755,53139,48660,51067,57339,53755
A000100,유한양행,12,19621101,0.890091,0.84221,15349.34,15736.34,6724.23,878435330,918243962,11.81,24.82,2.46,4.04,16.69,411705437,198415535,54685946,670.89,7.77,7.47,10.61,11.98,248.67,299.29,96340748,76259174,8784.35,9182.44,184.95,181.36,51.27,48.19,0.48249,0.4583,132149,148954,156593,148572,146663,152392,162394,151594,151594,148795,175994,160794,175194
A000120,CJ대한통운,12,19560702,1.182711,1.179965,14973.02,15877.73,6061,1324941236,1354739968,,-1.93,1.26,0.57,-5.07,1170323437,130491453,60056516,-3442.67,3.69,-25.7,-47.94,2.66,980.95,1386.35,310943871,485255327,13249.41,13547.4,204.14,134.87,10.97,11.15,0.90402,0.87348,50605,54784,61663,61663,55038,53255,51471,49484,50707,56312,51726,57077,51981
A000140,하이트진로홀딩스,12,19730919,0.728656,0.710029,22940.66,25436.65,12258.96,2867191565,2674500035,42.19,27.52,2.15,2.87,12.16,892863246,475137044,201513785,930.41,2.75,3.36,8.64,10.17,1158.68,2079.68,1075747325,582868032,28671.92,26745,44.62,50.58,50.48,53.22,0.36137,0.32223,128170,129772,130840,136715,143123,142589,152202,132443,126568,119091,126568,123898,125500
A000150,두산,12,19730629,1.953778,1.882051,13582.01,34829.07,6353.23,2606988672,2503500280,288.49,71.61,1.99,0.86,8.5,1927983770,605765351,43021795,232.28,0.3,0.91,3.66,1.74,1198.26,263.33,1012884103,892170063,26069.89,25035,62.33,67.54,31.85,31.42,0.70609,0.75452,142230,153094,147168,187664,258779,223715,179268,127414,182725,188652,170379,209393,172848
A000180,성창기업지주,12,19760602,1.509896,1.58911,900,1500,1195.8,239580118,251482566,,9.87,0.75,0.57,8.7,158600953,21525216,688435,91.4,-1.82,3.72,7.9,0.32,23.26,-15.6,53208709,67629640,2395.8,2514.83,58.72,89.2,11.08,13.57,0.69014,0.64595,2458,2831,3264,2949,2266,2217,2379,2345,2507,2295,2222,2084,1991
A000210,대림산업,12,19760202,1.230022,1.186131,26448,47850,25354.78,3915677892,4540268232,210,11.57,1.16,0.69,9.26,4269281633,562668944,268949300,2535.57,9.24,6,10.54,12.71,-408.88,124.17,459606733,606520932,39156.78,45402.68,164.2,159.45,13.81,13.18,1.14654,1.00977,137500,158500,157000,169500,195500,162000,179000,129000,152000,126500,135500,123500,107000
A000220,유유제약,12,19751118,0.90822,0.943688,1096.31,1291.67,633,112791979,121116562,12.98,15.83,1.96,1.85,8.4,73393135,47239979,13070397,85.58,9.36,7.32,14.26,10.3,115.02,68.01,28266400,27815935,1127.92,1211.17,187.54,162.36,69.83,64.37,0.63669,0.62754,22150,19350,20350,19000,17200,15550,16600,10400,11900,10600,11500,13150,12200
A000230,일동홀딩스,12,19750628,0.94028,0.871304,1746.86,2180.92,1555.01,222734281,243886510,,8.3,1.19,0.74,4.49,259414114,164392868,38782359,231.19,9.42,9.91,15.9,13.93,165.08,251.95,25002825,27419387,2227.34,2438.87,210.24,230.92,61.5,63.37,1.07453,1.11188,8563,10492,9842,8563,8720,8740,8740,8622,8326,8208,7598,7667,7254
A000240,한국타이어월드와이드,12,19681227,1.06458,1.045013,24046.01,25263.53,15228,1953541665,2165863027,,13.95,1.52,1.15,6.42,2063766333,565559355,174534912,1701.73,11.13,8.26,11.73,9.58,2911.31,2187.41,112066951,146222570,19535.42,21658.63,89.4,117.95,30.83,27.4,1.04269,1.00197,16440,20996,20352,18570,18718,16143,17728,15797,14410,15549,15252,14658,14410
A000250,삼천당제약,12,20001004,1.187461,1.067146,569,557,649.83,80990220,80132827,,23.21,0.88,1.2,8.85,47508705,30871600,3416479,24.52,8.44,3.04,3.79,2.31,69.86,53.01,5000560,4128902,809.9,801.33,578.6,489.43,64.41,64.98,0.69611,0.58972,2785,3140,3045,3000,2935,2720,2830,2525,3410,2990,3370,3555,3230
A000270,기아차,12,19730721,1.238912,1.221108,46702.5,50001.19,52477.56,11241785000,12106605000,,118.72,0.89,0.27,8.64,17439910000,2511961000,-125291000,393.37,6.21,0.34,0.75,-2.09,4387.6,-2315.5,2509982000,2755745000,112417.85,121066.05,83.8,76.1,14.17,14.4,1.45928,1.49388,14400,14050,12700,12450,10350,10150,10100,10350,10000,11400,13350,12200,11050
A000300,대유플러스,12,19750609,0.051413,0.103465,1088.22,989.29,270.5,36824186,108120285,,-8.44,4.05,0.75,-45.33,106781608,-5229669,-12799434,-94.66,-7.72,-13.06,-56.32,-25.88,-40.44,-72.46,12669266,18213142,368.24,1081.2,77.19,54.26,2.2,-4.9,2.14501,1.47341,2123,1681,1686,1537,1461,1567,1707,1257,1635,1851,1800,1864,2858
A000320,노루홀딩스,12,19730810,0.666922,0.624571,820.08,1350.44,1316.14,394874216,188803587,0.93,14.23,0.49,1.01,7.56,121386373,33846093,11871040,85.88,2.87,2.94,4.7,58.21,84.29,-48.63,87425448,39791444,3948.74,1888.04,174.21,47.73,16.45,27.88,0.63697,0.41594,10249,13380,16900,14550,12350,10000,11700,9550,8640,6860,8000,8190,7400
A000360,삼환기업,12,19730903,0.843898,0.810361,2838.07,3843.22,4746.73,810785711,905288452,72.51,7.74,0.6,0.39,3.7,819202500,85306955,56872803,412.42,6.29,4.81,9.02,10.38,991.66,419.01,146285871,179566994,8107.86,9052.88,188.68,179.9,16.8,10.41,0.867,0.95474,43396,46734,44331,42261,40058,40325,36987,24903,29509,28641,29910,31646,27106
A000370,한화손해보험,12,19750630,1.489577,1.439757,973.52,4205.86,1149.59,1182015820,1288676747,,-3.97,2.29,0.16,-8.27,1032516715,,-38160832,-413.36,-1.02,-3.35,-43.1,,432.22,-55,,,11820.16,12886.77,,,0,0,0.91898,0.83581,12983,16370,18863,24931,31469,21638,26295,17122,18345,15523,17687,15005,13265
A000390,삼화페인트,12,19930910,0.494078,0.484851,761.6,810.88,1115.09,189380022,212311311,,11.3,0.64,0.3,6.4,257409095,51240606,16756505,67.37,3.78,3.35,6.11,7.27,170.87,32.29,21922177,23312096,1893.8,2123.11,211.97,182.92,19.71,19.91,1.17152,1.28163,3620,4070,3880,3930,3405,3485,3650,2995,3280,3170,3160,3420,3100
A000400,롯데손해보험,12,19710416,1.252233,1.179545,756.9,1665.18,1095.44,845298565,1026696162,,10.95,0.61,0.1,-18.22,807433290,,7661108,72.28,0.33,0.77,6.88,,287.48,1617.74,,,8452.99,10266.96,,,0,0,0.75575,0.86264,3046,5154,5954,5754,14924,12462,14539,9847,11308,11231,10001,8847,9077
A000420,로케트전기,12,19880805,3.05502,2.361581,161.59,170.18,79.22,64780579,57988573,42.55,-1.88,2.28,0.35,-15.52,52230572,6428107,-1201167,-96.2,-4.79,-15.67,-74.89,-2.9,41.8,-66.24,7041016,24526147,647.81,579.89,70.43,92.71,19.54,12.31,0.86628,0.85087,1760,1431,1236,1060,1186,857,907,773,853,930,876,853,895
A000430,대원강업,12,19770622,0.960364,0.929841,1038,1179,1728.81,325305237,325732262,,12.16,0.58,0.25,5.52,420327257,32832978,9252570,85.38,3.09,2.62,4.96,4.08,236.73,267.97,30387464,31556746,3253.05,3257.32,80.16,79.3,7.52,7.81,1.50404,1.29125,1902,2120,2047,2468,2482,2231,2187,1732,1781,1820,1994,2061,1752
A000440,중앙에너비스,12,19960701,0.466245,0.462663,325.87,280.84,401.87,52357798,54484955,,11.7,0.34,0.16,7.86,96543878,12455764,1477128,12.99,2.5,2.43,3.27,2.32,24.25,19.52,3949605,4407974,523.58,544.85,101.44,86.27,13,12.9,1.85929,1.80721,22550,24300,28950,33600,25100,27350,25500,25400,24100,22900,22325,22650,21900
A000470,그린손해보험,3,19750630,0.898895,0.709826,564.96,1357,744.82,526363444,736288403,,16.82,0.97,0.1,2.88,684377663,,-13402455,38.82,1.3,0.62,5.52,,-271.31,1077.6,,,5263.63,7362.88,,,0,0,0.9943,1.08403,10984,18339,22112,18339,25312,20345,18912,10507,12800,10900,13750,14200,13800
A000480,조선내화,12,19780630,0.742291,0.701544,2080,3720,3117.58,347553252,430251579,,8.79,0.53,0.68,5.54,304490340,49631683,22663517,236.5,7.79,6.08,8.29,21.82,109.71,259.21,18851756,48368065,3475.53,4302.52,167.6,182.63,18.33,16.3,0.8974,0.78295,93000,104000,97900,118000,104500,94900,99000,89100,97700,88600,87600,96400,92300
A000490,대동공업,12,19750627,0.712836,0.692396,645.41,1131.84,1545.59,266137904,299821794,,34.51,0.36,0.19,4.88,342911914,75441313,3146339,18.7,1.99,0.66,1.21,31.21,-4.31,83.93,15396137,62888284,2661.38,2998.22,126.14,156.92,20.92,22,1.39159,1.21179,4770,5340,4260,4400,4220,4010,4150,3200,4020,3730,3950,3980,3770
A000500,가온전선,12,19870608,0.844262,0.84934,1015.95,2004.6,1646.8,262538090,316557147,,5.46,0.58,0.15,4.86,685203230,45866708,26624644,186.31,3.73,6.44,11.91,9.2,-114.39,170.37,21078527,21712322,2625.38,3165.57,175.77,146.94,6.14,6.69,2.03245,2.36646,48286,58525,47440,54768,49131,43119,41146,34382,37435,36167,34194,35651,31282
A000520,삼일제약,12,19850529,0.485429,0.479618,1144,1155,619.1,78267618,92590187,,12.71,1.84,1.25,6.38,90877715,46230604,14296416,89.53,11.13,10.48,15.36,19.18,61.88,169.93,4588447,4554620,782.68,925.9,270.25,211.69,55.53,50.87,1.00306,1.06378,20085,23576,20420,20563,17837,16642,16737,13868,14155,10712,11381,11716,10664
A000540,흥국화재,12,19741205,0.900464,0.901641,1065.23,2591.52,961.23,1049335213,1029135000,46.08,-1.61,1.86,0.14,-2.56,953813000,,-77397000,-833.93,-2.46,-8.02,-76.8,,-185.94,-1587.4,,,10493.35,10291.35,,,0,0,0.92587,0.9178,8363,9406,8983,8826,13332,8944,10331,9042,8599,7379,7163,7480,9350
A000590,CS홀딩스,12,19751222,0.591731,0.564597,282,502.2,614.87,69834624,79264564,,4.93,0.51,0.36,1.76,89293682,16637401,8252808,64.87,6.7,8.7,11.13,12.46,88.81,110.1,1682805,1256581,698.35,792.65,237.5,238.01,17.76,18.63,1.16124,1.19778,94901,101817,91046,88665,73358,71884,72451,71658,71204,71318,74832,71884,81522
A000610,제일화재,3,19760605,1.628241,1.552256,1076.33,1992.01,912.35,1300598828,1442878354,,17.37,1.41,0.11,4.38,1153065446,,12040746,73.82,0.86,0.54,8.41,,583.9,1222.26,,,13005.99,14428.78,,,0,0,0.82324,0.84059,7440,10350,11450,11900,12150,8900,10400,7650,8050,7750,13550,15350,10350
A000640,동아쏘시오홀딩스,12,19700210,0.876125,0.790195,8576.16,8714.22,3175.52,576726022,594319119,,36.33,2.86,1.72,14.12,571162442,337291209,60852187,270.85,4.49,4.63,8.76,10.61,324.34,699.2,127938837,65676504,5767.26,5943.19,181.68,126.27,55.43,59.05,0.94183,0.97547,92049,113071,127404,105108,91943,106701,106588,106913,117410,114163,123902,106480,115245
A000650,천일고속,12,19770623,1.052751,0.911959,639.82,1124.5,219.32,33554496,36108547,,28.94,3.09,1.52,9.6,44771229,9021371,-66473,23.45,2.44,6.73,11.3,-0.3,40.4,51.51,5738553,5636774,335.54,361.09,74.94,118.63,10.57,20.15,1.30539,1.28537,78740,97245,91391,83178,71754,59858,69000,64000,78700,65400,66600,66400,61300
A000660,SK하이닉스,12,19961226,1.70527,1.821744,167313.51,153152.75,85334.22,10265400752,13625806530,,8.22,1.96,2.18,5.15,7569201963,2735080899,1872492529,20123.9,19.63,16.85,27.27,25.38,26816.54,31109.6,2227342907,2750678918,102654.01,136258.07,166.34,193.04,37.33,36.13,0.6213,0.63364,33350,37600,33750,31300,25000,25900,25950,26000,24900,27850,26800,31000,25000
A000670,영풍,12,19760612,0.668538,0.617731,5093.24,8169.45,7267.19,970866999,1304947450,,4.48,0.66,0.66,3.74,769496121,65907156,45358712,1136.66,3.58,9.99,17.16,17.28,111.75,557.85,221586007,285914991,9708.67,13049.47,101.83,96.74,8.99,8.57,0.45287,0.67624,443500,698000,640000,675000,647000,580000,493000,385000,441500,433000,457000,471000,470000
A000680,LS네트웍스,12,19731115,0.503904,0.468301,449.27,1156,859.2,395219083,1234115673,1.85,-17.69,1.22,0.49,-45.08,214365072,84169728,35789617,-59.06,0.49,-0.73,-6.69,,222.07,259.45,162265523,444501126,3952.19,12341.16,183.2,156.59,36.99,39.27,0.50438,0.26313,3312,3312,3312,12287,11073,9859,9324,7800,9907,9227,9703,9460,8742
A000700,유수홀딩스,12,19560303,1.084722,1.039434,18932.53,29187.66,24425.73,4799689783,5929314377,,2.1,0.38,0.16,2.84,6051350496,381627818,149105126,4604.11,9.82,8.58,21.02,4.94,3457.24,1276.22,1988878155,2050703416,47996.9,59293.14,135.86,116.58,13.55,6.31,1.21559,1.12803,10399,14947,13414,11497,13311,11012,10169,8342,9441,9939,10986,11996,10373
A000720,현대건설,12,19841222,0.932573,0.851977,63062.08,74803.85,18226.45,5122698491,5708985794,4.94,15.73,3.46,1.23,22.44,5084898451,608254919,394386135,3976.04,6.77,7.34,25.34,36.78,-833.25,2220.12,857574449,1490963122,51226.98,57089.86,99.09,136.68,13.59,11.96,0.88817,0.93889,67600,80800,75800,87400,91100,77500,88200,69500,88400,86000,92200,87900,69500
