Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000010,신한은행,12,19560303,0.948834,0.942556,28113.83,38030.63,25358.22,50331452000,55080936000,0,5.38,1.08,0.54,14.2,5189355000,2362684000,723130000,5225.31,0.22,0.99,22.62,,14057.32,14375.12,,,503314.52,550809.36,,,16.07,27.67,0.11146,0.09846,5600,5010,5660,4845,4675,4725,4100,3780,3675,2900,3980,3860,4025
A000020,동화약품,12,19760324,1.527455,1.240433,513.38,405.01,1346.17,254488830,215747248,,8.03,0.41,0.41,4.51,134147019,60406737,14846933,69.18,1.69,2.94,5.23,7.7,105.12,306.1,35603747,24409241,2544.89,2157.47,208.52,268.15,39.76,45.03,0.5204,0.57055,1450,1490,1486,1384,1362,1390,1302,1288,1314,1188,1230,1520,1402
A000040,KR모터스,12,19760525,0.619047,0.735498,49.62,33.89,-901.3,122491227,101334998,,-0.22,-0.05,0.05,144.75,100537972,18299235,5231200,-218.06,-36.62,-19.49,27.52,10.77,-74.14,84.23,120509882,102918737,1224.91,1013.35,55.22,47.63,13.05,18.2,0.86463,0.89836,4713,4713,4713,4713,8541,5559,5245,4720,4675,2562,2203,1738,1424
A000050,경방,12,19560303,0.52748,0.577328,357.14,403.37,3796.68,564454011,549523394,,-114.5,0.09,0.2,10.41,178380576,16337742,2674343,-3.13,0.6,-0.06,-0.08,-2.33,-42.27,62.91,24185697,41389888,5644.54,5495.23,58.02,60.08,11.69,9.16,0.43925,0.32026,1923,1897,1931,1999,1897,1950,1870,2015,1836,1813,1958,2144,2167
A000060,메리츠화재,12,19560702,1.188263,1.177624,1089.66,1093.95,1472.29,1648663966,1938489965,,3.14,0.85,0.07,-0.16,1883703444,,67575206,436.68,-1.23,2.44,36.35,,950,2356.41,,,16486.64,19384.9,,,0,0,0.96763,1.05025,987,960,1099,898,1049,1169,975,851,964,797,859,1087,1142
A000070,삼양홀딩스,12,19681227,0.844852,0.810352,1817.02,2072.73,5104.72,1159293302,902847204,34.76,24.2,0.26,0.21,5.12,933728959,178240615,52906617,80.29,2.68,0.78,1.66,7.58,1025.41,89.29,199406973,81648938,11592.93,9028.47,60.48,72.07,18.37,19.09,1.03655,0.90559,19234,21493,22595,24304,22816,23863,21714,18407,18572,16258,19509,22761,20446
A000080,하이트진로,12,20091019,0.745754,0.781505,413.21,532.76,-735.86,1691360703,1702081678,86.93,0,0,0,13.14,547126668,251794766,112280929,-1220.57,4.79,-7.19,1390.35,163.36,521.16,798.14,1304350511,1299925583,16913.61,17020.82,98.56,79.36,46.82,46.02,0.28634,0.32246,4100,4550,3900,3080,3210,3240,1100,,,,,,
A000100,유한양행,12,19621101,0.646817,0.634237,3935.93,3619.62,3694.32,538144053,565621472,12.4,10.45,1.16,1.63,5.83,258990025,117457549,42348906,404.94,6.4,7.34,11.69,14.02,274.54,483.2,50317470,72077732,5381.44,5656.21,146.73,202.9,45.38,45.35,0.42149,0.46928,32921,30686,32076,33163,32317,32136,32858,29249,31655,29882,31212,36214,35897
A000110,한국스탠다드차타드은행,12,19560303,0.428494,0.268566,8464,8464,15265.31,25452572000,26491708000,0,2.31,0.34,0.24,10.74,2126243000,786032000,150535000,2240.94,1.19,0.86,15.84,,47898.6,3070.24,,,254525.72,264917.08,,,28.47,30.45,0.09078,0.08187,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645
A000120,CJ대한통운,12,19560702,1.167676,1.278273,614.59,1153.12,6954.37,1205260318,1239450466,,0.53,0.04,0.03,0.63,959715867,111069049,52251907,470.85,1.52,3.85,7.41,5.44,941.6,1027.1,124865976,406984831,12052.6,12394.5,56.1,224.77,11.73,11.57,0.8089,0.78514,5886,5147,6090,4332,4347,5045,4128,4031,4016,3669,4230,5376,5580
A000140,하이트진로홀딩스,12,19730919,1.088373,0.950685,9798.61,14244.33,6797.43,1758813229,1682775169,78.07,15.66,1.64,1.5,6.74,757697742,416288149,246161909,723.68,4.09,4.21,11.17,12.45,3707.09,1375.43,474314404,239528342,17588.13,16827.75,61.42,52.33,53.13,54.94,0.38689,0.44032,79252,75300,72096,63017,56609,63551,52443,60347,55861,61415,65153,71562,68464
A000150,두산,12,19730629,0.387337,0.472161,3460.99,3367.46,9125.36,3355994712,3347944586,288.49,-19.18,0.43,0.24,6.82,1783635272,493683729,-92337260,-222.39,0.36,-0.66,-2.3,8.26,-852.41,-294.67,841288008,1283001749,33559.95,33479.45,66.23,76.67,34.92,27.68,0.51301,0.53212,15754,14816,13729,10173,10075,11408,8692,7852,7892,7111,8188,8889,9383
A000180,성창기업지주,12,19760602,0.854225,0.896732,1059,732,765.33,261649564,246707655,,-1.97,0.71,0.19,18.56,152842271,29651489,11442452,-148.32,4.98,-5.84,-19.38,5.27,53.06,-21.01,108953041,71013214,2616.5,2467.08,55.06,42.23,19.92,19.4,0.56858,0.60132,1199,1121,1199,1027,1032,1101,805,668,689,613,779,845,890
A000210,대림산업,12,19760202,1.105207,1.098978,5431.25,5135,15907.32,3295872929,3107577286,210,23.57,0.33,0.3,7.22,2516401239,306443002,125846302,316.34,1.09,0.99,2.02,4.79,5448.91,4510.34,826142322,565351806,32958.73,31075.77,174.95,156.13,13.07,12.18,0.68329,0.78595,13000,15250,15250,14300,13900,16850,14250,15900,16800,17500,19800,22600,20800
A000220,유유제약,12,19751118,0.719136,0.693725,245.64,183.77,411.97,50769495,53047071,12.98,10.57,0.84,0.92,4.07,35682721,22169665,4336714,31.14,4.91,6,7.89,8.85,49.19,48.84,3566383,4087087,507.69,530.47,244.04,309.88,61.79,62.13,0.5694,0.68742,2960,2820,3960,2700,3470,3560,3040,2930,3030,2960,3180,3090,3300
A000230,일동홀딩스,12,19750628,1.83521,1.375313,376.67,340.02,751.69,172018544,161421887,,4.79,0.62,0.33,3.6,130331398,75102004,26800042,90.66,4.44,5.44,12.88,15.47,165.46,236.72,46392799,38404509,1720.19,1614.22,133.78,156.57,56.6,57.62,0.62063,0.78174,1336,1457,1373,1263,1260,1266,1177,1194,1260,1157,1296,1359,1332
A000240,한국타이어월드와이드,12,19681227,1.268872,1.035795,3681.8,3666.9,9452.63,1947717925,1909891346,,12.04,0.38,0.26,4.3,1404977821,390744575,119016387,302.82,1.21,1.57,3.24,5.81,1590.94,2297.88,396121377,350563223,19477.18,19098.91,87.19,76.13,27.73,27.81,0.68329,0.72842,2436,2436,2397,2060,2184,2585,2184,2793,2580,2763,3456,4655,5833
A000250,삼천당제약,12,20001004,0.713262,0.896755,333,324,410.06,47373271,56149993,,3.54,0.81,0.83,0.98,40174224,26855412,12517120,94.12,23.42,18.18,25.23,49.01,112.24,75.46,3836242,4148171,473.73,561.5,399.22,430.37,66.11,66.85,0.90609,0.77614,1620,1590,1640,1400,1500,1540,1400,1360,1390,1440,1490,1580,1670
A000270,기아차,12,19730721,0.37247,0.422794,32746.33,40655.72,33930.16,8169281526,8438466000,,6.35,0.96,0.31,4.07,11129204000,2597588000,522241000,5522.35,4.17,6.65,17.11,6.28,4227.13,11621.65,2506543258,2504551000,81692.82,84384.66,97.72,95.24,17.4,23.34,1.36349,1.34024,11000,10550,10000,7830,8790,9100,8800,7800,7550,7090,8450,8880,8800
A000300,대유플러스,12,19750609,0.94905,1.056122,35.1,116.16,-278.03,93244199,93379809,,-0.32,-0.13,0.04,11.52,99439082,1779021,-1945289,-110.49,-11.37,-11.84,49.6,-3.5,29.97,111.64,81159262,80492597,932.44,933.8,80.31,71.26,5.5,1.79,1.09879,1.06566,1325,1287,1427,1357,1281,1145,1255,591,736,652,725,639,665
